"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus1216","Kushneria","Proteobacteria",3.24673693256515e-05,4.57556527101212e-05,-0.251248757711085,-0.242530648090362,FALSE
"RSV_genus1218","Marinomonas","Proteobacteria",1.92330358479151e-05,4.57556527101212e-05,-0.23773846281891,-0.211308527550156,FALSE
"RSV_genus1219","Marinospirillum","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1221","Nitrincola","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1222","Oceanobacter","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1223","Pseudospirillum","Proteobacteria",3.0449523620392e-05,4.57556527101212e-05,-0.253506957326854,-0.242530648090362,FALSE
"RSV_genus1224","Reinekea","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1226","Gilliamella","Proteobacteria",2.01177840970942e-05,4.57556527101212e-05,-0.252503009633747,-0.240415749388083,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.00153757312870614,0.0016596846411649,3.55392043739777,3.1376190398416,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.00031231899331285,0.000344443232625029,3.78718820535074,3.33317681332108,TRUE
"RSV_genus1230","Bibersteinia","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1231","Bisgaardia","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1232","Gallibacterium","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.000948743474186754,0.00103333798260747,7.44187178791177,7.17383295380734,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",0.463644240742901,0.468990243518763,1.25543575923025,1.06680657868411,FALSE
"RSV_genus1236","Necropsobacter","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1237","Pasteurella","Proteobacteria",1.63115343006643e-05,4.57556527101212e-05,-0.243632147453103,-0.211464781461422,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",1.9652844687955e-05,4.57556527101212e-05,0.504974737291946,0.614255042282373,FALSE
"RSV_genus1239","Alkanindiges","Proteobacteria",3.14486433436224e-05,4.57556527101212e-05,-0.251553276661225,-0.24070897350282,FALSE
