"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus833","Devosia","Proteobacteria",0.150593388687479,0.186796757689188,-0.23637185955075,-0.217835215046443,FALSE
"RSV_genus834","Hyphomicrobium","Proteobacteria",0.150706475033922,0.186796757689188,-0.232800144377621,-0.217835215046443,FALSE
"RSV_genus836","Pedomicrobium","Proteobacteria",0.145240975913683,0.186796757689188,-0.242455601945173,-0.217835215046443,FALSE
"RSV_genus837","Pelagibacterium","Proteobacteria",0.139821748782368,0.186796757689188,-0.251286859924438,-0.217835215046443,FALSE
"RSV_genus838","Rhodomicrobium","Proteobacteria",0.140142451473068,0.186796757689188,-0.250086286604417,-0.217835215046443,FALSE
"RSV_genus839","Rhodoplanes","Proteobacteria",0.148680804112633,0.186796757689188,-0.240822653988736,-0.217835215046443,FALSE
"RSV_genus840","Vasilyevaea","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus845","Meganema","Proteobacteria",0.139608260935849,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.237901425644119,0.26028897476936,-0.134589669900325,-0.217835215046443,FALSE
"RSV_genus847","Microvirga","Proteobacteria",0.14283701990991,0.186796757689188,-0.244073693471824,-0.217835215046443,FALSE
"RSV_genus849","Hansschlegelia","Proteobacteria",0.139075638969093,0.186796757689188,-0.250024897455419,-0.217835215046443,FALSE
"RSV_genus851","Pleomorphomonas","Proteobacteria",0.142078563703281,0.186796757689188,-0.2486827247413,-0.217835215046443,FALSE
"RSV_genus853","Aliihoeflea","Proteobacteria",0.141538705679079,0.186796757689188,-0.247403972668473,-0.217835215046443,FALSE
"RSV_genus854","Aminobacter","Proteobacteria",0.141754459445878,0.186796757689188,-0.24758721151137,-0.217835215046443,FALSE
"RSV_genus855","Aquamicrobium","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus856","Mesorhizobium","Proteobacteria",0.145791626600788,0.186796757689188,-0.246927342740211,-0.217835215046443,FALSE
"RSV_genus858","Nitratireductor","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus859","Phyllobacterium","Proteobacteria",0.140463719747939,0.186796757689188,-0.250515922462676,-0.217835215046443,FALSE
"RSV_genus860","Pseudahrensia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus861","Ensifer","Proteobacteria",0.140356567447052,0.186796757689188,-0.252064563601582,-0.217835215046443,FALSE
"RSV_genus863","Neorhizobium","Proteobacteria",0.150706475033922,0.186796757689188,-0.231851664517178,-0.217835215046443,FALSE
"RSV_genus864","Rhizobium","Proteobacteria",0.107001456556445,0.186796757689188,-0.224257506327313,-0.0098910608784599,FALSE
"RSV_genus865","Shinella","Proteobacteria",0.14197046577676,0.186796757689188,-0.24812740451715,-0.217835215046443,FALSE
"RSV_genus866","Agaricicola","Proteobacteria",0.141646551001882,0.186796757689188,-0.246661098007763,-0.217835215046443,FALSE
"RSV_genus867","Alsobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus868","Bauldia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus869","Candidatus Liberibacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus870","Phreatobacter","Proteobacteria",0.158079442063098,0.187270435899324,-0.238440513126388,-0.217835215046443,FALSE
"RSV_genus871","Rhizomicrobium","Proteobacteria",0.140249478028741,0.186796757689188,-0.250296969142109,-0.217835215046443,FALSE
"RSV_genus872","Afifella","Proteobacteria",0.139714973477697,0.186796757689188,-0.253359300696079,-0.217835215046443,FALSE
"RSV_genus873","Methyloligella","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus875","Parvibaculum","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus876","Aquabacter","Proteobacteria",0.14121554823939,0.186796757689188,-0.25125640501307,-0.217835215046443,FALSE
"RSV_genus877","Labrys","Proteobacteria",0.139714973477697,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus879","Pseudolabrys","Proteobacteria",0.154359513018834,0.186796757689188,-0.235813032464124,-0.217835215046443,FALSE
"RSV_genus880","Pseudoxanthobacter","Proteobacteria",0.139608260935849,0.186796757689188,-0.252179883925444,-0.217835215046443,FALSE
"RSV_genus881","Starkeya","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
