"OTU","Genus","Phylum","p_value","p_adj_BH","control","Angina","in_top_panel"
"RSV_genus973","Sphingorhabdus","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus974","Zymomonas","Proteobacteria",0.00107176923838881,0.00159587888504181,-0.252520777355586,-0.223097576429212,FALSE
"RSV_genus976","Achromobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus977","Advenella","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus978","Alcaligenes","Proteobacteria",0.00102696122714486,0.00159587888504181,-0.252650666264522,-0.223097576429212,FALSE
"RSV_genus979","Bordetella","Proteobacteria",0.00117113798584495,0.00159723681949813,-0.241377025798503,-0.153782858373217,FALSE
"RSV_genus980","Castellaniella","Proteobacteria",0.00185084738043489,0.00214929930459648,-0.207232318574269,-0.18645544275119,FALSE
"RSV_genus981","GKS98 freshwater group","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus982","Kerstersia","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus983","MWH-UniP1 aquatic group","Proteobacteria",0.00102967614883418,0.00159587888504181,-0.252886145931283,-0.223097576429212,FALSE
"RSV_genus985","Oligella","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus986","Parapusillimonas","Proteobacteria",0.00113670915574592,0.00159587888504181,-0.248492020998348,-0.223097576429212,FALSE
"RSV_genus987","Parasutterella","Proteobacteria",0.000295372966908608,0.00159587888504181,-0.215920349716714,-0.064711097185149,FALSE
"RSV_genus988","Pelistega","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus989","Pusillimonas","Proteobacteria",0.0010086747380259,0.00159587888504181,-0.252095305532322,-0.223097576429212,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.000125092173597726,0.00159587888504181,-0.22798126646511,-0.0357949894577582,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.0566674023819276,0.0598948995603069,-0.0786034774906798,-0.223097576429212,FALSE
"RSV_genus992","Cupriavidus","Proteobacteria",0.00212353592909304,0.00243663754051699,-0.22040577064449,-0.223097576429212,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.000272147513163635,0.00159587888504181,2.80816986980185,1.70510620974815,TRUE
"RSV_genus994","Limnobacter","Proteobacteria",0.00103567237357976,0.00159587888504181,-0.253025618710692,-0.223097576429212,FALSE
"RSV_genus996","Pandoraea","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus997","Polynucleobacter","Proteobacteria",0.00121854279958672,0.00161302304746391,-0.247699209432475,-0.223097576429212,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.484549433450048,0.490136481424839,0.845971687885667,0.953579385130281,FALSE
"RSV_genus999","Thiomonas","Proteobacteria",0.00103239771151297,0.00159587888504181,-0.252717061587462,-0.223097576429212,FALSE
"RSV_genus1000","Acidovorax","Proteobacteria",0.00102479406142347,0.00159587888504181,-0.253611721373632,-0.223097576429212,FALSE
"RSV_genus1001","Albidiferax","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1002","Aquabacterium","Proteobacteria",0.000550646557268485,0.00159587888504181,-0.217438683625875,-0.0932407333534261,FALSE
"RSV_genus1003","Azohydromonas","Proteobacteria",0.00100494748817818,0.00159587888504181,-0.252310113017553,-0.223097576429212,FALSE
"RSV_genus1004","Brachymonas","Proteobacteria",0.00115410692282531,0.00159587888504181,-0.245611856308237,-0.223097576429212,FALSE
"RSV_genus1005","Caenimonas","Proteobacteria",0.00102967614883418,0.00159587888504181,-0.251605880915682,-0.223097576429212,FALSE
"RSV_genus1006","Comamonas","Proteobacteria",0.00137018115092061,0.00169733608554351,-0.226461548187797,-0.200105606251582,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.185421755652823,0.1911666604754,0.376830856477089,0.283311969296004,FALSE
"RSV_genus1008","Delftia","Proteobacteria",0.0011462777110681,0.00159587888504181,-0.245482240918977,-0.223097576429212,FALSE
"RSV_genus1009","Diaphorobacter","Proteobacteria",0.00102479406142347,0.00159587888504181,-0.2518381979682,-0.223097576429212,FALSE
"RSV_genus1010","Extensimonas","Proteobacteria",0.00168192053991257,0.0019890359326172,-0.224825955996119,-0.223097576429212,FALSE
"RSV_genus1011","Hydrogenophaga","Proteobacteria",0.00114028867804732,0.00159587888504181,-0.248729241527987,-0.223097576429212,FALSE
"RSV_genus1012","Inhella","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1013","Kinneretia","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1014","Lampropedia","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1015","Limnohabitans","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.0347845979036584,0.0372141208171068,0.357526717081754,0.467204353507054,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.000128702095904099,0.00159587888504181,-0.110762466713683,0.0930522824995813,FALSE
"RSV_genus1019","Piscinibacter","Proteobacteria",0.00111896684368108,0.00159587888504181,-0.245835325509458,-0.223097576429212,FALSE
"RSV_genus1020","Pseudacidovorax","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.252839593356079,-0.223097576429212,FALSE
"RSV_genus1021","Pseudorhodoferax","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.253211644065304,-0.223097576429212,FALSE
"RSV_genus1022","Ramlibacter","Proteobacteria",0.00105607944745456,0.00159587888504181,-0.251169161376705,-0.223097576429212,FALSE
"RSV_genus1023","Rhizobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1024","Rhodoferax","Proteobacteria",0.00101402158250995,0.00159587888504181,-0.251388562876758,-0.223097576429212,FALSE
"RSV_genus1025","Roseateles","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1026","Rubrivivax","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1027","Schlegelella","Proteobacteria",0.00120904848277919,0.0016026535520356,-0.244600341453225,-0.223097576429212,FALSE
"RSV_genus1028","Simplicispira","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1029","Tepidicella","Proteobacteria",0.00109053749226082,0.00159587888504181,-0.24978497680614,-0.223097576429212,FALSE
"RSV_genus1030","Tepidimonas","Proteobacteria",0.00154221396422504,0.00185334554853943,-0.227902041767076,-0.223097576429212,FALSE
"RSV_genus1031","Variovorax","Proteobacteria",0.00107742479447416,0.00159587888504181,-0.251047159766953,-0.223097576429212,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.00190957119905228,0.00220686970908437,-0.203891951507726,-0.193391268690928,FALSE
"RSV_genus1033","Xylophilus","Proteobacteria",0.00105219034258897,0.00159587888504181,-0.250317326369883,-0.223097576429212,FALSE
"RSV_genus1035","Actimicrobium","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1036","Duganella","Proteobacteria",0.00110786284690576,0.00159587888504181,-0.250331380474919,-0.223097576429212,FALSE
"RSV_genus1037","Herbaspirillum","Proteobacteria",0.00126442405172583,0.00164059477439838,-0.244356365118593,-0.223097576429212,FALSE
"RSV_genus1038","Herminiimonas","Proteobacteria",0.00103840859833605,0.00159587888504181,-0.251145751359866,-0.223097576429212,FALSE
"RSV_genus1039","Janthinobacterium","Proteobacteria",0.00142349710467009,0.00174767774301098,-0.233760134427282,-0.170399298513298,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.00215123843624884,0.00246256831670241,-0.21037275987402,-0.191708653895837,FALSE
"RSV_genus1042","Noviherbaspirillum","Proteobacteria",0.00102913263368811,0.00159587888504181,-0.251963722386917,-0.223097576429212,FALSE
"RSV_genus1043","Oxalicibacterium","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1044","Pseudoduganella","Proteobacteria",0.00103840859833605,0.00159587888504181,-0.25054841741305,-0.223097576429212,FALSE
"RSV_genus1045","Undibacterium","Proteobacteria",0.00115048731931214,0.00159587888504181,-0.247668736954991,-0.223097576429212,FALSE
"RSV_genus1047","Hydrogenophilus","Proteobacteria",0.00107120519575254,0.00159587888504181,-0.251088939907398,-0.223097576429212,FALSE
"RSV_genus1049","Tepidiphilus","Proteobacteria",0.00130849949531199,0.0016658337902059,-0.241776812893869,-0.223097576429212,FALSE
"RSV_genus1050","Methylobacillus","Proteobacteria",0.00184711632347344,0.00214929930459648,-0.20862648178126,-0.126176761248674,FALSE
"RSV_genus1051","Methylophilus","Proteobacteria",0.00145984648133847,0.00178238817324451,-0.237681820325559,-0.223097576429212,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.94273859783664,0.944696518081368,0.491283226058657,0.068655014504681,FALSE
"RSV_genus1055","Aquaspirillum","Proteobacteria",0.00103567237357976,0.00159587888504181,-0.25286995810806,-0.223097576429212,FALSE
