"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus1322","Mycoplasma","Tenericutes",1.726119134335e-97,4.16426241158318e-95,1.17853908865851,2.89886834485163,TRUE
"RSV_genus1324","Ureaplasma","Tenericutes",4.40713192135329e-61,6.76653696848409e-61,-0.213958619467106,-0.259986906726439,FALSE
"RSV_genus1327","AUTHM297","Thermotogae",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1328","Thermotoga","Thermotogae",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",6.84126242697605e-64,2.53916086231996e-62,-0.179659592116099,-0.253147253309714,FALSE
"RSV_genus1334","Lentimonas","Verrucomicrobia",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1335","Chthoniobacter","Verrucomicrobia",1.35447258246329e-61,2.87268876007016e-61,-0.219718275382764,-0.269803558768449,FALSE
"RSV_genus1341","Candidatus Methylacidiphilum","Verrucomicrobia",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",3.79798432361489e-48,4.24196165774117e-48,-0.0458047983872919,-0.0941038368893679,FALSE
"RSV_genus1345","Luteolibacter","Verrucomicrobia",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1347","Prosthecobacter","Verrucomicrobia",1.76473186155374e-61,3.13286723118024e-61,-0.219141384514019,-0.27264110683126,FALSE
"RSV_genus1348","Roseimicrobium","Verrucomicrobia",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
