"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus181","Sciscionella","Actinobacteria",0.216636278901236,0.282531313901713,-0.252207054669723,-0.246778702133957,FALSE
"RSV_genus183","Kitasatospora","Actinobacteria",0.120295878027219,0.282531313901713,-0.250855574517173,-0.224656983605448,FALSE
"RSV_genus185","Streptacidiphilus","Actinobacteria",0.0527561972676268,0.282531313901713,-0.25401179868196,-0.160210661388673,FALSE
"RSV_genus186","Streptomyces","Actinobacteria",0.0571391706401313,0.282531313901713,-0.248932927259983,-0.167945222369903,FALSE
"RSV_genus188","Nocardiopsis","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus190","Actinoallomurus","Actinobacteria",0.219024566245931,0.282531313901713,-0.251683469929611,-0.246778702133957,FALSE
"RSV_genus191","Actinomadura","Actinobacteria",0.113957611374694,0.282531313901713,-0.251384521036603,-0.216638134643997,FALSE
"RSV_genus192","Adlercreutzia","Actinobacteria",0.217493894045896,0.282531313901713,-0.2529800385421,-0.246778702133957,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0896853344498289,0.282531313901713,5.18889180187533,5.54805878235547,FALSE
"RSV_genus194","Collinsella","Actinobacteria",0.242711681994019,0.283149636867262,-0.246999874586425,-0.246778702133957,FALSE
"RSV_genus195","Coriobacteriaceae UCG-003","Actinobacteria",0.286700604292175,0.311210442229414,-0.239191834345369,-0.246778702133957,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.0413105956418634,0.282531313901713,0.737081329320114,1.03843662653419,FALSE
"RSV_genus197","Eggerthella","Actinobacteria",0.23978384813371,0.283149636867262,-0.244062334983803,-0.246778702133957,FALSE
"RSV_genus198","Enterorhabdus","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus199","Gordonibacter","Actinobacteria",0.116258330276552,0.282531313901713,-0.25401179868196,-0.224656983605448,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.704333870697544,0.723066154492691,0.760097556427441,0.714153132564556,FALSE
"RSV_genus202","Parvibacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.137247731251136,0.282531313901713,-0.221962721206417,-0.214909209862106,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.00845249168417682,0.282531313901713,0.0118381452928069,0.168247265425258,FALSE
"RSV_genus207","Euzebya","Actinobacteria",0.22366295954278,0.282531313901713,-0.250980622992832,-0.246778702133957,FALSE
"RSV_genus208","Nitriliruptor","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus209","Rubrobacter","Actinobacteria",0.266930190084375,0.295886869417653,-0.242356814756623,-0.246778702133957,FALSE
"RSV_genus211","Gaiella","Actinobacteria",0.0683327855491419,0.282531313901713,-0.235798733642792,-0.173726220384362,FALSE
"RSV_genus217","Conexibacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus221","Patulibacter","Actinobacteria",0.225469299196931,0.282531313901713,-0.247845942174941,-0.246778702133957,FALSE
"RSV_genus223","Solirubrobacter","Actinobacteria",0.0691312254819352,0.282531313901713,-0.232384663596915,-0.153711628598003,FALSE
"RSV_genus226","Armatimonas","Armatimonadetes",0.216113380282642,0.282531313901713,-0.253211644065304,-0.246778702133957,FALSE
"RSV_genus228","Candidatus Caldatribacterium","Atribacteria",0.215781100099709,0.282531313901713,-0.252076909396074,-0.246778702133957,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0404150621064916,0.282531313901713,0.733553930971457,1.05153641903402,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.0158482127493569,0.282531313901713,0.640182934721791,0.896239931546286,FALSE
"RSV_genus242","Barnesiella","Bacteroidetes",0.340034792764903,0.363784451239613,-0.211519022506979,-0.246778702133957,FALSE
"RSV_genus243","Butyricimonas","Bacteroidetes",0.261186392803652,0.291381351509277,-0.233135362660541,-0.246778702133957,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.192072940382861,0.282531313901713,0.0358143850381782,0.0355635976186667,FALSE
"RSV_genus245","Dysgonomonas","Bacteroidetes",0.223760334139111,0.282531313901713,-0.252008427155906,-0.246778702133957,FALSE
"RSV_genus246","Macellibacteroides","Bacteroidetes",0.257673839569727,0.289152608001648,-0.24076156467435,-0.246778702133957,FALSE
"RSV_genus247","Microbacter","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.516004046796285,0.537736398659196,0.0245850571421666,-0.0202700748455354,FALSE
"RSV_genus250","Paludibacter","Bacteroidetes",0.226695681206167,0.282531313901713,-0.249387499015641,-0.246778702133957,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0811355999100194,0.282531313901713,-0.154164308461951,-0.108089282037758,FALSE
"RSV_genus252","Petrimonas","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.518735416828593,0.539999651822645,6.23383789673516,6.12775509383935,FALSE
"RSV_genus254","Proteiniphilum","Bacteroidetes",0.139700194768,0.282531313901713,-0.242451278438598,-0.205161436118764,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.70110738078038,0.721288510077896,3.14736480229625,3.07544811480626,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.00748974649741633,0.282531313901713,6.50141378022809,5.97040399257682,FALSE
"RSV_genus258","Paraprevotella","Bacteroidetes",0.258535412620042,0.289152608001648,-0.240968665625628,-0.246778702133957,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.0843298000290576,0.282531313901713,6.84594426700938,6.57551875271133,FALSE
"RSV_genus260","Prevotella 1","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.0238267768048396,0.282531313901713,3.74920493956727,3.24470120503824,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.413509635543766,0.436582930306055,4.84616072910044,5.0920583555186,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.875126179809358,0.886145607047252,7.9949588843149,8.06812928689487,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.205753930145286,0.282531313901713,-0.150985146741603,-0.1405904275268,FALSE
"RSV_genus265","Prevotellaceae Ga6A1 group","Bacteroidetes",0.230851154456047,0.282531313901713,-0.245400380130319,-0.246778702133957,FALSE
"RSV_genus266","Prevotellaceae NK3B31 group","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus267","Prevotellaceae UCG-001","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus268","Prevotellaceae UCG-003","Bacteroidetes",0.219024566245931,0.282531313901713,-0.253425696019019,-0.246778702133957,FALSE
"RSV_genus269","Prevotellaceae UCG-004","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus270","Prevotellaceae YAB2003 group","Bacteroidetes",0.217923615991737,0.282531313901713,-0.253611721373632,-0.246778702133957,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.425891174411624,0.447696060247514,-0.144183997093122,-0.200847977521868,FALSE
"RSV_genus272","Blvii28 wastewater-sludge group","Bacteroidetes",0.218066992176264,0.282531313901713,-0.253506957326854,-0.246778702133957,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.0505741059614552,0.282531313901713,-0.0510545010237904,0.030689436891369,FALSE
"RSV_genus275","dgA-11 gut group","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus276","vadinBC27 wastewater-sludge group","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus281","Algoriphagus","Bacteroidetes",0.219120489476584,0.282531313901713,-0.25032430020603,-0.246778702133957,FALSE
"RSV_genus283","Adhaeribacter","Bacteroidetes",0.0739187289903698,0.282531313901713,-0.244410792087439,-0.168921898425787,FALSE
"RSV_genus284","Arcicella","Bacteroidetes",0.219552517322986,0.282531313901713,-0.251884835223339,-0.246778702133957,FALSE
"RSV_genus285","Chryseolinea","Bacteroidetes",0.219312426428913,0.282531313901713,-0.249836147962529,-0.246778702133957,FALSE
"RSV_genus286","Cytophaga","Bacteroidetes",0.217732553171983,0.282531313901713,-0.253002115971749,-0.246778702133957,FALSE
"RSV_genus287","Dyadobacter","Bacteroidetes",0.226548264651696,0.282531313901713,-0.249915456296011,-0.246778702133957,FALSE
"RSV_genus288","Emticicia","Bacteroidetes",0.219072524091132,0.282531313901713,-0.253077731181063,-0.246778702133957,FALSE
"RSV_genus289","Fibrisoma","Bacteroidetes",0.220273921841406,0.282531313901713,-0.25223920784057,-0.246778702133957,FALSE
"RSV_genus290","Flectobacillus","Bacteroidetes",0.218545402419497,0.282531313901713,-0.253611721373632,-0.246778702133957,FALSE
"RSV_genus291","Flexibacter","Bacteroidetes",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus292","Hymenobacter","Bacteroidetes",0.127864797555728,0.282531313901713,-0.241942530133642,-0.212969618832383,FALSE
"RSV_genus293","Larkinella","Bacteroidetes",0.215496581494496,0.282531313901713,-0.253025618710692,-0.246778702133957,FALSE
"RSV_genus295","Nibribacter","Bacteroidetes",0.221721828598687,0.282531313901713,-0.248644658048995,-0.246778702133957,FALSE
"RSV_genus296","Ohtaekwangia","Bacteroidetes",0.22718756383253,0.282531313901713,-0.249696421378409,-0.246778702133957,FALSE
"RSV_genus297","Pontibacter","Bacteroidetes",0.219120489476584,0.282531313901713,-0.251855360801536,-0.246778702133957,FALSE
"RSV_genus298","Pseudarcicella","Bacteroidetes",0.115073956221829,0.282531313901713,-0.253303164250403,-0.208080977030484,FALSE
"RSV_genus299","Rhodocytophaga","Bacteroidetes",0.224003903255795,0.282531313901713,-0.247041033027077,-0.246778702133957,FALSE
"RSV_genus300","Rudanella","Bacteroidetes",0.223419655651014,0.282531313901713,-0.251216456390616,-0.246778702133957,FALSE
"RSV_genus301","Runella","Bacteroidetes",0.118052824975815,0.282531313901713,-0.251433493328747,-0.213422380687902,FALSE
"RSV_genus302","Siphonobacter","Bacteroidetes",0.217875838991935,0.282531313901713,-0.252459475347276,-0.246778702133957,FALSE
