"OTU","Genus","Phylum","p_value","p_adj_BH","control","Poor.oral.hygiene","in_top_panel"
"RSV_genus195","Coriobacteriaceae UCG-003","Actinobacteria",3.73269369529041e-46,4.38739271127314e-46,-0.220429713351215,-0.248100173585598,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",5.24985507710462e-05,5.40673441772247e-05,0.484045127927802,0.906848857235656,FALSE
"RSV_genus197","Eggerthella","Actinobacteria",1.67032177392044e-49,4.15724567871936e-49,-0.221715890763931,-0.257398581244957,FALSE
"RSV_genus198","Enterorhabdus","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus199","Gordonibacter","Actinobacteria",5.51297857244605e-49,8.0812076173136e-49,-0.225356821019241,-0.261711161267872,FALSE
"RSV_genus201","Olsenella","Actinobacteria",1.17405150341503e-22,1.26305429297157e-22,0.205673472535957,1.02981619156506,TRUE
"RSV_genus202","Parvibacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",1.82160469852344e-41,2.07293459206972e-41,-0.207210103103419,-0.224283478395991,FALSE
"RSV_genus204","Slackia","Actinobacteria",2.97462670710534e-06,3.0832596910383e-06,-0.102235362994658,0.066001175256421,FALSE
"RSV_genus207","Euzebya","Actinobacteria",5.62175154787451e-49,8.0812076173136e-49,-0.225356821019241,-0.259220296818719,FALSE
"RSV_genus208","Nitriliruptor","Actinobacteria",2.03693654962397e-49,4.15724567871936e-49,-0.224559183297077,-0.262954846400456,FALSE
"RSV_genus209","Rubrobacter","Actinobacteria",2.98698304939313e-48,3.80268950219575e-48,-0.222807444265016,-0.253543097632648,FALSE
"RSV_genus211","Gaiella","Actinobacteria",3.45466909062056e-49,5.76774337793917e-49,-0.206696963566045,-0.254432757173813,FALSE
"RSV_genus217","Conexibacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus221","Patulibacter","Actinobacteria",2.61637031476953e-50,3.71873535286928e-49,-0.219870239065498,-0.262954846400456,FALSE
"RSV_genus223","Solirubrobacter","Actinobacteria",1.62289722466651e-48,2.10780056770281e-48,-0.209440882446967,-0.245367267615813,FALSE
"RSV_genus226","Armatimonas","Armatimonadetes",8.12803283960121e-50,4.15724567871936e-49,-0.223460482201057,-0.262954846400456,FALSE
"RSV_genus228","Candidatus Caldatribacterium","Atribacteria",2.00976376433e-49,4.15724567871936e-49,-0.222299740478941,-0.262954846400456,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0044693714934583,0.00453040282687737,0.574230889000907,0.862391549296066,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",7.20925398891657e-53,4.62629463732232e-51,0.057682070466261,0.990915246707902,TRUE
"RSV_genus242","Barnesiella","Bacteroidetes",5.14155977655298e-51,1.41760148124961e-49,-0.176268777570585,-0.238855788129167,FALSE
"RSV_genus243","Butyricimonas","Bacteroidetes",1.66084989398803e-49,4.15724567871936e-49,-0.203502713739046,-0.254048955556888,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",2.52406074208173e-25,2.73369092717045e-25,0.0208454301491066,0.00655157744717029,FALSE
"RSV_genus245","Dysgonomonas","Bacteroidetes",2.73937055859558e-49,4.77657245593633e-49,-0.223761545574914,-0.261992263916943,FALSE
"RSV_genus246","Macellibacteroides","Bacteroidetes",2.65862317668055e-49,4.64777421285639e-49,-0.212182068709678,-0.253561993317005,FALSE
"RSV_genus247","Microbacter","Bacteroidetes",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",1.24474340478279e-06,1.29158858668322e-06,-0.165421207833016,0.134617055475141,FALSE
"RSV_genus250","Paludibacter","Bacteroidetes",1.25316971015545e-48,1.66801209696553e-48,-0.220776858690081,-0.255908174060841,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",1.30278566852529e-51,5.23828404219546e-50,-0.086288426490701,-0.171631662699812,FALSE
"RSV_genus252","Petrimonas","Bacteroidetes",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",1.97078107784491e-25,2.13926179991039e-25,5.85495808289684,6.46515900059021,TRUE
"RSV_genus254","Proteiniphilum","Bacteroidetes",1.32038083163535e-48,1.74543493497002e-48,-0.205928645104206,-0.246392097490766,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",6.0374680015535e-60,8.3230808878559e-58,2.43761962810874,3.45080232229865,TRUE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.000186189934008133,0.000190735972736569,6.2551860451996,6.55456871931137,FALSE
"RSV_genus258","Paraprevotella","Bacteroidetes",1.33447014262686e-49,4.15724567871936e-49,-0.213063862545423,-0.248307942406166,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",6.88401154399197e-11,7.22858665936044e-11,6.54836533649135,6.91709356195343,FALSE
"RSV_genus260","Prevotella 1","Bacteroidetes",9.68477747659607e-50,4.15724567871936e-49,-0.224724708079846,-0.262954846400456,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",3.92249159686629e-15,4.15956526480876e-15,3.38434337788971,3.9008398608825,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0722917302729326,0.0726682497014374,4.75444752173191,4.88709870257598,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.00150346919966702,0.00152881746857605,7.85338320220104,8.04162191073077,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",4.50354277842438e-53,3.10422770084252e-51,-0.0892723204634706,-0.202529251613847,FALSE
"RSV_genus265","Prevotellaceae Ga6A1 group","Bacteroidetes",1.10354777861917e-49,4.15724567871936e-49,-0.219051787674204,-0.260920637440132,FALSE
"RSV_genus266","Prevotellaceae NK3B31 group","Bacteroidetes",1.69993980744676e-49,4.15724567871936e-49,-0.224160364435996,-0.261296599557011,FALSE
"RSV_genus267","Prevotellaceae UCG-001","Bacteroidetes",9.68477747659607e-50,4.15724567871936e-49,-0.224237194926574,-0.262954846400456,FALSE
"RSV_genus268","Prevotellaceae UCG-003","Bacteroidetes",2.17726047091226e-49,4.15724567871936e-49,-0.223552739191894,-0.260795206500549,FALSE
"RSV_genus269","Prevotellaceae UCG-004","Bacteroidetes",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus270","Prevotellaceae YAB2003 group","Bacteroidetes",2.11520003420271e-49,4.15724567871936e-49,-0.224724708079846,-0.260304836353301,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",4.8965850153322e-50,4.15724567871936e-49,-0.0674775874006305,-0.16364186591191,FALSE
"RSV_genus272","Blvii28 wastewater-sludge group","Bacteroidetes",1.97171581895281e-49,4.15724567871936e-49,-0.221150905319687,-0.260591662358242,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",1.16907800966483e-27,1.27331859969138e-27,-0.108863056953492,-0.053675132810314,FALSE
"RSV_genus275","dgA-11 gut group","Bacteroidetes",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus276","vadinBC27 wastewater-sludge group","Bacteroidetes",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus281","Algoriphagus","Bacteroidetes",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus283","Adhaeribacter","Bacteroidetes",4.09326975668158e-48,5.13654787411928e-48,-0.225356821019241,-0.248963127678091,FALSE
"RSV_genus284","Arcicella","Bacteroidetes",1.92342292951008e-49,4.15724567871936e-49,-0.224160364435996,-0.262954846400456,FALSE
