"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus1183","Hafnia","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1184","Leminorella","Proteobacteria",5.72860047927293e-06,8.45499025250447e-06,-0.252587172678526,-0.21157767744101,FALSE
"RSV_genus1185","Lonsdalea","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1186","Morganella","Proteobacteria",6.56817617671764e-06,8.49636730634387e-06,-0.250616434859206,-0.21157767744101,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",5.04973679069468e-06,8.45499025250447e-06,-0.146145245449228,-0.0727335124455946,FALSE
"RSV_genus1189","Pectobacterium","Proteobacteria",5.77355377514254e-06,8.45499025250447e-06,-0.253425696019019,-0.21157767744101,FALSE
"RSV_genus1190","Plesiomonas","Proteobacteria",8.11079211409849e-07,8.36270470769503e-06,-0.25201593600048,-0.141718524316299,FALSE
"RSV_genus1191","Proteus","Proteobacteria",6.60540216246327e-06,8.51029784616429e-06,-0.248936080232577,-0.21157767744101,FALSE
"RSV_genus1192","Providencia","Proteobacteria",6.04615796241687e-06,8.45499025250447e-06,-0.252106806468976,-0.21157767744101,FALSE
"RSV_genus1193","Rahnella","Proteobacteria",5.83125553780592e-06,8.45499025250447e-06,-0.250858028094102,-0.21157767744101,FALSE
"RSV_genus1194","Serratia","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1195","Shimwellia","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1196","Tatumella","Proteobacteria",5.95676642240794e-06,8.45499025250447e-06,-0.251886958646613,-0.21157767744101,FALSE
"RSV_genus1197","Trabulsiella","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",5.05718235101262e-05,5.47105489767621e-05,0.143905290132779,0.594079180834223,FALSE
"RSV_genus1200","Aquicella","Proteobacteria",8.67056173082128e-07,8.36270470769503e-06,-0.247613403545562,-0.156408655850135,FALSE
"RSV_genus1201","Coxiella","Proteobacteria",1.83877092534048e-05,2.04661354435244e-05,-0.223948764387951,-0.21157767744101,FALSE
"RSV_genus1202","Diplorickettsia","Proteobacteria",5.68802472818613e-06,8.45499025250447e-06,-0.253506957326854,-0.21157767744101,FALSE
"RSV_genus1204","Rickettsiella","Proteobacteria",3.70647741970954e-06,8.45499025250447e-06,-0.250201491565983,-0.169688231674399,FALSE
"RSV_genus1205","Legionella","Proteobacteria",8.08591098479941e-07,8.36270470769503e-06,-0.234663273304114,-0.138767814820049,FALSE
"RSV_genus1207","Methylobacter","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1208","Methylocaldum","Proteobacteria",5.76535541358421e-06,8.45499025250447e-06,-0.25286995810806,-0.21157767744101,FALSE
"RSV_genus1209","Methylomonas","Proteobacteria",5.73267325815828e-06,8.45499025250447e-06,-0.253025618710692,-0.21157767744101,FALSE
"RSV_genus1212","Alcanivorax","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1214","Cobetia","Proteobacteria",5.96099432643699e-06,8.45499025250447e-06,-0.252706802710199,-0.21157767744101,FALSE
"RSV_genus1215","Halomonas","Proteobacteria",8.50606463545016e-06,1.00839709744587e-05,-0.237787910032373,-0.21157767744101,FALSE
"RSV_genus1216","Kushneria","Proteobacteria",5.77355377514254e-06,8.45499025250447e-06,-0.251248757711085,-0.21157767744101,FALSE
"RSV_genus1218","Marinomonas","Proteobacteria",1.16146611970673e-05,1.31396811901171e-05,-0.23773846281891,-0.21157767744101,FALSE
"RSV_genus1219","Marinospirillum","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1221","Nitrincola","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1222","Oceanobacter","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1223","Pseudospirillum","Proteobacteria",3.21488390147609e-06,8.45499025250447e-06,-0.253506957326854,-0.168161267679358,FALSE
"RSV_genus1224","Reinekea","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1226","Gilliamella","Proteobacteria",5.76126041251228e-06,8.45499025250447e-06,-0.252503009633747,-0.21157767744101,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",1.52809239045462e-08,9.24049314255952e-07,3.55392043739777,1.16384097190293,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",7.01916953453117e-11,1.18675610814456e-08,3.78718820535074,1.11176121202658,TRUE
"RSV_genus1230","Bibersteinia","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1231","Bisgaardia","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1232","Gallibacterium","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",2.41008837866856e-08,1.36807957965598e-06,7.44187178791177,5.73053793526408,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",0.939809703517619,0.939809703517619,1.25543575923025,0.265607819089648,FALSE
"RSV_genus1236","Necropsobacter","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1237","Pasteurella","Proteobacteria",8.27152280687151e-06,9.85434507238396e-06,-0.243632147453103,-0.21157767744101,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",2.36334905549915e-06,8.45499025250447e-06,0.504974737291946,1.22061734619662,FALSE
"RSV_genus1239","Alkanindiges","Proteobacteria",5.95676642240794e-06,8.45499025250447e-06,-0.251553276661225,-0.21157767744101,FALSE
"RSV_genus1240","Enhydrobacter","Proteobacteria",5.74490823090716e-06,8.45499025250447e-06,-0.252480592338409,-0.21157767744101,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.0404384649924735,0.041735955847847,0.383926932647576,0.0979127862255431,FALSE
"RSV_genus1243","Perlucidibaca","Proteobacteria",5.72453047008022e-06,8.45499025250447e-06,-0.253002115971749,-0.21157767744101,FALSE
"RSV_genus1244","Psychrobacter","Proteobacteria",2.05670084767006e-06,8.45499025250447e-06,-0.24622092304574,-0.176825572038135,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",8.32374950257312e-06,9.89214072658013e-06,-0.183755742343186,-0.150425391858747,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",6.16297753483793e-06,8.45499025250447e-06,0.560797594277792,1.3816762246776,FALSE
"RSV_genus1250","Oceanococcus","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1254","Leucothrix","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1256","Thiothrix","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",4.71448805993765e-06,8.45499025250447e-06,-0.17186472741002,0.0421755359645455,FALSE
"RSV_genus1258","Enterovibrio","Proteobacteria",6.04615796241687e-06,8.45499025250447e-06,-0.251687142223517,-0.21157767744101,FALSE
"RSV_genus1260","Photobacterium","Proteobacteria",9.84542056467763e-06,1.13510523834097e-05,-0.238512672526557,-0.21157767744101,FALSE
"RSV_genus1261","Vibrio","Proteobacteria",1.30919816461237e-06,8.45499025250447e-06,-0.244648109224001,-0.183376081077889,FALSE
"RSV_genus1263","Alkanibacter","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1264","Nevskia","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1265","Solimonas","Proteobacteria",5.76535541358421e-06,8.45499025250447e-06,-0.252389676578444,-0.21157767744101,FALSE
"RSV_genus1266","Aquimonas","Proteobacteria",6.1980034923516e-06,8.45499025250447e-06,-0.251257726851398,-0.21157767744101,FALSE
"RSV_genus1267","Arenimonas","Proteobacteria",6.94474596191094e-06,8.67581501377783e-06,-0.247070074148596,-0.21157767744101,FALSE
"RSV_genus1268","Chiayiivirga","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1269","Dokdonella","Proteobacteria",6.44857287652154e-06,8.45499025250447e-06,-0.250703431184144,-0.21157767744101,FALSE
"RSV_genus1270","Dyella","Proteobacteria",5.85615346533786e-06,8.45499025250447e-06,-0.25201593600048,-0.150425391858747,FALSE
"RSV_genus1271","Frateuria","Proteobacteria",6.43945944389072e-06,8.45499025250447e-06,-0.251454958199699,-0.21157767744101,FALSE
