"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus147","Catellatospora","Actinobacteria",0.709500136786996,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.24355342394363,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus148","Catenuloplanes","Actinobacteria",0.780475128118345,0.860791318842843,-0.247116214510647,-0.246205673324731,-0.241050067932472,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus149","Dactylosporangium","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus150","Longispora","Actinobacteria",0.708296729961478,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.245076493693513,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus151","Micromonospora","Actinobacteria",0.708396445535969,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242409791482285,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus153","Plantactinospora","Actinobacteria",0.724736163595326,0.860791318842843,-0.247116214510647,-0.24428562804077,-0.2281288285177,-0.237041527333371,-0.241459669414916,FALSE
"RSV_genus154","Stackebrandtia","Actinobacteria",0.691749320426364,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.241488946067825,-0.245742168723768,-0.241798513560556,FALSE
"RSV_genus155","Verrucosispora","Actinobacteria",0.673242154832554,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242198289957649,-0.239836779055274,-0.245378924498612,FALSE
"RSV_genus156","Virgisporangium","Actinobacteria",0.688639896012766,0.860791318842843,-0.247116214510647,-0.243986955575971,-0.245271073796815,-0.244330463671711,-0.245378924498612,FALSE
"RSV_genus160","Aeromicrobium","Actinobacteria",0.70324386800349,0.860791318842843,-0.241489548255739,-0.250656047848886,-0.237537489933311,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus161","Kribbella","Actinobacteria",0.811899302652077,0.860970139625554,-0.247116214510647,-0.233378545633224,-0.246988723649999,-0.238404454694837,-0.238864070201738,FALSE
"RSV_genus162","Marmoricola","Actinobacteria",0.796245686983809,0.860970139625554,-0.247116214510647,-0.23622961666501,-0.228001093591323,-0.242092964102122,-0.240941140765214,FALSE
"RSV_genus163","Mumia","Actinobacteria",0.70894436874976,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242395271042524,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus165","Nocardioides","Actinobacteria",0.808389041342409,0.860970139625554,-0.224380965309335,-0.196371450573445,-0.184488379716727,-0.22655172604536,-0.205957338612243,FALSE
"RSV_genus166","Aestuariimicrobium","Actinobacteria",0.728524055945281,0.860791318842843,-0.245234114227844,-0.248906658813631,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus167","Microlunatus","Actinobacteria",0.708321398978306,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.241405896951115,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus168","Micropruina","Actinobacteria",0.7082808107693,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242380945513888,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.837692157601952,0.871006373335705,-0.143793148875606,-0.109570627635792,-0.122720114651034,-0.14637250700216,-0.113273912954225,FALSE
"RSV_genus171","Propioniciclava","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.29893243743342,0.860791318842843,-0.0298608572336513,-0.0635987638996592,-0.115256462782017,-0.119686468061801,-0.110348622285447,FALSE
"RSV_genus173","Actinomycetospora","Actinobacteria",0.693807135443689,0.860791318842843,-0.243543528185371,-0.247296219095235,-0.236425252602136,-0.244330463671711,-0.227310202258843,FALSE
"RSV_genus174","Actinophytocola","Actinobacteria",0.719009747421193,0.860791318842843,-0.235976925747259,-0.240397488858025,-0.246988723649999,-0.241699101602024,-0.238112821800999,FALSE
"RSV_genus175","Crossiella","Actinobacteria",0.683232147276091,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242751485748663,-0.238171641858052,-0.245378924498612,FALSE
