"OTU","Genus","Phylum","p_value","p_adj_BH","Underweight","Healthy.weight","Overweight","Class.1.Obesity","Class.2.3.Obesity","in_top_panel"
"RSV_genus717","Turicibacter","Firmicutes",0.378560664044998,0.433040287321931,-0.205319200792693,-0.212616467793707,-0.213129280005515,-0.224556804573048,-0.223898189625327,FALSE
"RSV_genus718","[Anaerorhabdus] furcosa group","Firmicutes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus720","Acidaminococcus","Firmicutes",0.302567309269994,0.433040287321931,-0.215391161909982,-0.221566948736789,-0.217928097624474,-0.236420214249486,-0.212251696746791,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.256096436880549,0.433040287321931,-0.177539984215514,-0.140550151538823,-0.149751065993341,-0.173678842597253,-0.160745700286574,FALSE
"RSV_genus723","Succiniclasticum","Firmicutes",0.396844383351933,0.436920516277294,-0.232423910571503,-0.243618295185356,-0.245640941942076,-0.244652474386303,-0.246818844238332,FALSE
"RSV_genus725","Allisonella","Firmicutes",0.35992758500731,0.433040287321931,-0.232423910571503,-0.241200829714969,-0.242737014417441,-0.245224050739148,-0.237750890680774,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",7.89012628018832e-05,0.00845996873375748,1.81408997257018,1.92464805331403,2.10462959436581,2.22879816572057,2.18359888982932,TRUE
"RSV_genus727","Anaerovibrio","Firmicutes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.302212836105272,0.433040287321931,-0.0336343707304238,0.0119069069987491,0.0746133825356327,0.0326335365007375,0.0632704334402191,FALSE
"RSV_genus729","Dialister","Firmicutes",0.000610495427194064,0.0392752058161515,3.31519071529693,3.72181338758638,3.75137065935904,3.95572094905973,3.92219417597073,TRUE
"RSV_genus730","Megamonas","Firmicutes",0.347848048539656,0.433040287321931,-0.232423910571503,-0.237245788291823,-0.2377816769468,-0.246054124269635,-0.246818844238332,FALSE
