"VARNAME","Metric","LEVEL","group_mean","group_N","REF_LEVEL","group_mean-REF_group_mean","wilcox_effsize","wilcox_p_val","wilcox_p_FDR"
"Hepatitis_C_antibody","Beta Diversity ( Unwunifrac )","Positive",0.492838792095295,159,"Negative",0.0494731354281963,0.114756086266268,5.84612311370733e-29,5.84612311370733e-29
"Hepatitis_C_antibody","Beta Diversity ( Wunifrac )","Negative",0.281554158607699,8645,"Negative",0,NA,NA,NA
"Hepatitis_C_antibody","Beta Diversity ( Wunifrac )","Positive",0.294473453504339,159,"Negative",0.0129192948966401,0.0414857431233663,1.76192835627414e-05,1.76192835627414e-05
"BMI_category","Beta Diversity ( Braycurtis )","Class 1 Obesity",0.536083638803204,1743,"Healthy weight",0.00262291626713718,-0.457995461893241,0.103646504912889,0.207293009825777
"BMI_category","Beta Diversity ( Braycurtis )","Class 2-3 Obesity",0.535787877852331,1429,"Healthy weight",0.00232715531626415,-0.370175170434841,0.401120397873543,0.534827197164724
"BMI_category","Beta Diversity ( Braycurtis )","Healthy weight",0.533460722536066,3021,"Healthy weight",0,NA,NA,NA
"BMI_category","Beta Diversity ( Braycurtis )","Overweight",0.538579315368138,2817,"Healthy weight",0.00511859283207183,-0.768622162431397,0.00314813616408498,0.0125925446563399
"BMI_category","Beta Diversity ( Braycurtis )","Underweight",0.536634093577058,268,"Healthy weight",0.00317337104099202,-0.0371236916110537,0.77156669631156,0.77156669631156
"BMI_category","Beta Diversity ( Unwunifrac )","Class 1 Obesity",0.442368191733798,1743,"Healthy weight",-0.00254635504632278,-0.504944227037285,0.106736536537108,0.426946146148431
"BMI_category","Beta Diversity ( Unwunifrac )","Class 2-3 Obesity",0.445656514473801,1429,"Healthy weight",0.000741967693680623,-0.38045810022568,0.877873915931911,0.925712627078838
"BMI_category","Beta Diversity ( Unwunifrac )","Healthy weight",0.44491454678012,3021,"Healthy weight",0,NA,NA,NA
