"OTU","Genus","Phylum","p_value","p_adj_BH","control","Breast.cancer","in_top_panel"
"RSV_genus685","Ruminococcus 2","Firmicutes",0.101837725346187,0.469205826332139,6.18209149090909e-05,0,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.32046948661081,0.719679584027052,8.21314705454546e-05,0,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.308304857655557,0.719679584027052,7.71322327272728e-06,0,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.0311406690890176,0.259133257788799,0.000427376124,0.000303416424242424,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.0233749837891143,0.248550730916512,0.000147434732,6.85797272727273e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.469509952521032,0.787905312702162,1.87242654545455e-06,0,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.0321999906128094,0.259133257788799,7.46250447272727e-05,1.98864545454545e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.407967044949463,0.76607145107177,4.84193818181818e-06,0,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.359127061566289,0.740152114691498,0.00292363480872727,0.00326526545454545,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.275029783619817,0.719679584027052,9.77072036363636e-06,0,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.388354042281019,0.760209894552595,0.00105312885163636,0.000463461696969697,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.248064156913459,0.710556652853805,7.63077272727273e-05,1.2658e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.336418267089569,0.719679584027052,0.00255561948181819,0.00171685257575758,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.992607752780181,0.992607752780181,0.00536718770254546,0.00646785554545455,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.686591803890871,0.913320467042266,0.00071927828109091,0.000637370272727273,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.798120587086935,0.932882917241449,0.00158458157781818,0.00145086745454545,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.86982394684837,0.952770488915509,9.96063367272728e-05,6.15120909090909e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.870246757934751,0.952770488915509,0.057177881429091,0.058475751969697,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.114867861280292,0.487114165338857,0.0271414576534546,0.0233749827272727,FALSE
