"OTU","Genus","Phylum","p_value","p_adj_BH","College.AA","X..9th.Grade","X9.11th.Grade","High.School","College.Graduate","in_top_panel"
"RSV_genus579","Incertae Sedis","Firmicutes",8.04575025177564e-41,4.53243930850028e-39,0.000467378331566069,0.000493685494836489,0.000644856943334881,0.000659927215615304,0.000223019467519182,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.00140769365019207,0.00270341166911886,0.0025953478372757,0.00257760472977625,0.00234975889642359,0.00270317965253361,0.00244438459744246,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",2.26972847869256e-18,1.09595460828298e-17,0.00128567529526917,0.000994192902753872,0.00122397443985137,0.00136478557859359,0.000862852858312019,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.0019039711698772,0.00357523475232496,0.0018648442769168,0.00203146444750431,0.00176539154900139,0.00194002754550155,0.00192179959130435,FALSE
"RSV_genus589","Blautia","Firmicutes",0.22203021912651,0.308725811782384,3.29564082381729e-05,5.01415481927711e-05,9.54843037621923e-05,7.63892094105481e-05,9.68764961636829e-06,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",8.45102848539536e-07,1.95647097812578e-06,0.000202535181076672,0.000202024716006885,0.000171243949372968,0.00016522395294726,0.000231581468542199,FALSE
"RSV_genus592","Catonella","Firmicutes",0.276624336012906,0.361911842869963,0.000740182798531811,0.000692742464716008,0.000734646949372967,0.000833506592554291,0.000733396036828644,FALSE
"RSV_genus600","Howardella","Firmicutes",1.38569687537643e-20,8.67343599772656e-20,2.36997553017944e-05,1.48290981067126e-05,2.33299150023223e-05,2.73213298862461e-05,1.3200115601023e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.656598436376707,0.689224445637661,9.19640538336052e-06,3.40342142857143e-05,2.75198903855086e-05,1.12992512926577e-05,6.51752685421995e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",1.75257034853052e-13,6.43879106307954e-13,0.000210553263866232,0.000324791308950086,0.000253211126335346,0.000237533761633919,0.000282943737084399,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.48547393602642,0.554358751273411,0.00237836638662317,0.00233774670740103,0.00236872865861589,0.00232990933247156,0.0023833578168798,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0948904482849861,0.140670927720725,5.2590883360522e-05,0.000175891116179002,0.000121059570831398,0.000105545021199586,4.72762976982097e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",1.18301400645737e-26,1.2495585443206e-25,5.22426973898858e-05,0.000108681946643718,0.000105237905248491,5.8116284901758e-05,3.11965340153453e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",8.09239057310743e-16,3.5989842285662e-15,1.01551733278956e-05,1.23694931153184e-05,1.46433437064561e-05,2.1229733712513e-05,6.64907826086956e-06,FALSE
"RSV_genus627","Oribacterium","Firmicutes",3.44100305791397e-11,1.09722550337257e-10,0.00340235390579119,0.00288272208605852,0.00297207613005109,0.0032000882254395,0.00366912526803069,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",6.8530121034544e-21,4.63263618193517e-20,0.000212514544861338,0.000154644668674699,0.000192255011611705,0.000238090718717683,0.000137027333503836,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",7.24785813821615e-05,0.000145820003018872,0.00260271644168026,0.00256591940447504,0.00235478092196934,0.00327557200206826,0.00248487757340153,TRUE
"RSV_genus644","Peptococcus","Firmicutes",6.37454062026624e-22,4.89680620374998e-21,0.000626609509380098,0.000798474463855421,0.00068576958801672,0.000726802024819027,0.000476120074680307,FALSE
"RSV_genus646","Filifactor","Firmicutes",4.53229620149003e-36,1.53191611610363e-34,0.00133375014804241,0.00152774698192771,0.00151597600928937,0.0018230153123061,0.000808906398465473,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",8.7955675163645e-16,3.716127275664e-15,0.00027448029771615,0.000281757883820998,0.000313899041802136,0.00033026862409514,0.000232766828644501,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",2.13374706173388e-07,5.00837851990314e-07,0.00321760143597064,0.00387652455765921,0.00351664888295402,0.00363638142502585,0.00314452409207162,FALSE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.00273876332752139,0.00508627475111115,4.24272838499184e-06,6.13577194492255e-06,8.43373060845332e-06,4.54765149948294e-06,1.2774179028133e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.397078628662894,0.475931122298079,0.000106258604404568,0.00019894797848537,0.000204668144449605,0.000313076049638056,9.07841872122762e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.00014353013989545,0.000285371689909778,7.87231402936379e-06,2.35899225473322e-06,5.51186762656758e-06,5.14167735263702e-06,1.01184143222506e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.286937686818937,0.367367189942427,0.000168110648042414,0.00013751239070568,0.000110533165815142,0.000103932891416753,7.6674968286445e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.280535215479084,0.361911842869963,5.10563866231648e-06,2.89286583476764e-05,1.20427254993033e-05,5.68772543950362e-06,5.69283989769821e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.00783626803355773,0.013675968097969,0.00155643096247961,0.00162874001032702,0.00154616432373432,0.00176065445398138,0.00160793955652174,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.0605482551541563,0.0930241374641128,1.27068205546493e-05,4.91236678141136e-05,6.996560613098e-05,6.65389126163392e-05,4.79873606138107e-06,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.230255069905882,0.3131687503903,4.88776884176183e-05,0.000214192438898451,0.000148145320947515,0.000107181998965874,0.000130527982097187,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.0440897491731681,0.0689922926876426,2.8762028548124e-05,0.000122251466437177,4.47661411983279e-05,8.74316840744571e-05,6.93076879795396e-06,FALSE
"RSV_genus689","Pelospora","Firmicutes",7.20846188135812e-12,2.43646011589904e-11,5.56565864600326e-06,6.862752151463e-06,4.46039433348816e-06,3.65980299896587e-06,6.02084398976982e-07,FALSE
"RSV_genus698","Bulleidia","Firmicutes",1.07366763790518e-23,9.5499910950513e-23,0.000442506803017945,0.00024342074010327,0.000442341474686484,0.000462709640124095,0.000267925078260869,FALSE
"RSV_genus703","Eggerthia","Firmicutes",8.41112746621158e-16,3.64482190202502e-15,0.000111374844208809,8.22755249569707e-05,0.000133437793311658,0.000126878818510858,7.60207728900256e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.00413240709608781,0.00750942794880473,1.8620354812398e-06,8.27288296041308e-07,1.21314723641431e-06,1.84613236814891e-06,2.69779539641944e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",6.30580763153229e-22,4.89680620374998e-21,6.9835734502447e-05,5.31775963855422e-05,6.94960617742684e-05,8.14564348500517e-05,4.52975079283887e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.292623239116836,0.369054682169741,4.34452528548124e-06,2.91606746987952e-05,2.22291449140734e-05,1.67440165460186e-05,9.25016112531969e-06,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.877176199152151,0.887681303333614,0.00301473781973899,0.00304224215318417,0.00289888807199257,0.00304007146432265,0.0030095642966752,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.0644103581032127,0.0980662208958824,1.39030762642741e-05,3.91221196213425e-05,4.20035062703205e-05,2.55963314374354e-05,2.00916654731458e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",1.59570395174877e-27,1.92624262746816e-26,0.000942268232871124,0.000496141495697074,0.000806695047840223,0.00119002582006205,0.000564291949872123,FALSE
"RSV_genus728","Centipeda","Firmicutes",4.12426978155697e-10,1.14262556243136e-09,5.34228935562806e-05,7.55156824440619e-05,6.63079019972132e-05,7.31740879007239e-05,3.26194721227622e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",1.32752505367139e-21,9.34798891960272e-21,0.00249863312846656,0.00179289359208262,0.00232243249930329,0.00258225116649431,0.00187398766496163,TRUE
"RSV_genus731","Megasphaera","Firmicutes",4.4895410192787e-06,9.8536679514039e-06,0.00548299287275694,0.00473790447762478,0.00481415098467256,0.00569694546742502,0.00518322957493606,TRUE
"RSV_genus735","Selenomonas","Firmicutes",1.16052436536283e-05,2.45160772182898e-05,0.000721178776508973,0.000551922249569708,0.000650192769623781,0.00079624537900724,0.00056049711253197,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",4.9746246803447e-05,0.000101290550720272,0.00149234711500815,0.00129491207228916,0.00144026595726893,0.00149519902688728,0.00167837460664961,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",1.1547139434085e-18,5.91353504351626e-18,0.000112869914763458,5.7123495697074e-05,9.8163542963307e-05,0.0001162814663909,6.4099032225064e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",9.19770424608125e-07,2.10055678052396e-06,0.062422981300571,0.0556330108511187,0.059086021468184,0.0610090908154084,0.0601132804460359,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",0.0299804021566262,0.0477989430610361,0.026755103740212,0.0274619769216867,0.0276888083757547,0.0278799577094106,0.0260431871601023,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",1.83092817727308e-08,4.61831137252463e-08,0.0191616247434747,0.0188634095017212,0.0172813960826753,0.0178949713076525,0.0207383417058824,TRUE
"RSV_genus749","Sneathia","Fusobacteria",1.56604488614544e-09,4.20097755172347e-09,3.97749294453507e-05,6.63552160068847e-05,0.000103782610775662,6.04144834539814e-05,2.54550987212276e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",1.18395897474553e-44,2.00089066731994e-42,0.000653658424551387,0.0013158824827883,0.000846777753367393,0.000582835502068252,0.000277142278260869,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.92697047057337,0.92697047057337,0.000192805712479608,8.04857401032702e-06,3.187059591268e-05,2.17015439503619e-05,3.3049800511509e-05,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.023153719708723,0.0379900837939242,2.00694013050571e-05,5.12014681583477e-05,7.86093228053878e-05,4.87718821096174e-06,7.76415340153453e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.312207477854937,0.387963704099149,2.82874792006525e-05,0.00032762813253012,6.34211658151417e-06,4.84171840744571e-05,0.000112209676214834,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.76499764426734,0.788320743177929,1.73860244698205e-05,0.00075678567383821,2.54487877380399e-05,1.01360718717684e-05,9.03766240409207e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.0783940538359683,0.11807677336663,3.30561541598695e-06,2.07309397590361e-05,5.51557686948444e-06,4.34835418821096e-06,5.36968797953964e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.469590706160231,0.542647802865119,1.24228429853181e-05,2.96883493975904e-05,1.4631532745007e-05,2.60563205791107e-05,1.80124557544757e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.582571294067303,0.623130055046672,7.4394424959217e-06,2.77601462994836e-06,2.81273915466791e-05,2.71633867631851e-06,1.84467657289003e-05,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.905114795920243,0.910502383991197,5.8148765497553e-05,0.000144370660929432,3.1714578262889e-05,0.000143135416752844,6.60340025575447e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.40666438939588,0.48060336928604,4.53705057096248e-06,1.20579432013769e-05,9.94028146771946e-06,6.25749276111686e-06,3.05995294117647e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.340822503556125,0.420430679569234,4.68102361337683e-05,3.07098364888124e-06,0.000147087529958198,0.000143088200620476,2.96635483375959e-05,FALSE
