"OTU","Genus","Phylum","p_value","p_adj_BH","Today","Yesterday","X3.5.days.ago","in_top_panel"
"RSV_genus196","Cryptobacterium","Actinobacteria",3.2440137151628e-05,0.000268558059761073,0.00019566227356021,9.62767073170732e-05,0.000106604774647887,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.0625029086291088,0.156808718978306,0.000224729356020942,0.000121956726829268,8.19998450704225e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.159132959013282,0.320160358014817,6.69044895287958e-06,5.0780487804878e-07,1.90987323943662e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.192224065000844,0.376613997885765,1.45706688481675e-05,1.07878243902439e-05,7.01470422535211e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.27328210902523,0.486154488686988,0.00183198821858639,0.00212489827317073,0.000284862535211268,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.0497807597817526,0.13145231879869,0.000171403210732984,0.000164989175609756,5.32222676056338e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.0061190481788148,0.0272136616373605,9.92787604712042e-05,5.10425219512195e-05,8.31660563380282e-06,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.154617087094172,0.314822743601386,2.4275280104712e-05,2.80008682926829e-05,5.02497605633803e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0284847948132201,0.0789168905481017,3.41587931937173e-05,0.000129771985365854,8.96890281690141e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.109133428159084,0.237971612552586,0.017249620604712,0.0180989958243902,0.0189089049295775,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.419008633438825,0.638505138900059,0.00136619403795812,0.00107991575609756,0.00108978054929577,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.000391092062083228,0.00220315194973552,0.0203421258808901,0.0251071922536585,0.0280442584366197,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.0166786427031038,0.0506283376156209,0.0230585782643979,0.0244909395219512,0.023157822,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.000919785741787612,0.00485761844881583,0.00128180165052356,0.00132938311219512,0.00143364266197183,FALSE
