"OTU","Genus","Phylum","p_value","p_adj_BH","control","Prostate.cancer","in_top_panel"
"RSV_genus1060","Eikenella","Proteobacteria",0.868537330840744,0.923162320201797,0.000323729153818182,0.00021353525,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.102885639778375,0.668756658559439,0.000606594229090909,0.000390561208333333,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.586513004556641,0.787995290198434,0.0258712847454546,0.0278802930833333,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.131501241622376,0.670411490327778,6.26230661818182e-05,0,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.939814734321201,0.962598121819897,0.0001319372,4.0699e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.409315427232004,0.775700944358152,3.05048181818182e-06,0,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.480465653143057,0.775700944358152,1.63779749090909e-05,0,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.874984515513764,0.924202394511413,0.000125077313818182,0.000292370958333333,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.532115392920069,0.775700944358152,4.53401767272727e-05,4.92505416666667e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.672823670590879,0.826961159874843,1.79964970909091e-05,2.21666666666667e-06,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.61463315044597,0.790846960653834,2.51691185454545e-05,4.20275416666667e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.214569969456837,0.739062519097013,0.00522610350327273,0.00388326933333333,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.42560188932006,0.775700944358152,1.26627621818182e-05,0,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.127178792386259,0.670411490327778,2.05877636363636e-05,0,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",0.000103203486223008,0.0174413891716883,0.000902975710545455,0.00010418825,TRUE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.33008024524929,0.775700944358152,0.00109018026509091,4.74915833333333e-05,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.362537078541422,0.775700944358152,0.000192039179636364,0,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.0817522689710298,0.662320843904719,0.000129070325090909,0,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.000380392242998172,0.0321431445333455,0.00499902861127272,0.00266992816666667,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.0205630360641596,0.55552717986436,0.00551861014181818,0.00600672170833333,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.784267236654101,0.885851802515799,0.0555108643807273,0.054163347625,FALSE
"RSV_genus1234","Mannheimia","Proteobacteria",0.0781608085925743,0.662320843904719,0.00132115482945455,0.000294895791666667,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.544074708084314,0.775700944358152,0.000596372760727273,0.000151219458333333,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.305413362719357,0.775700944358152,0.000362360277090909,1.70373333333333e-05,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.457328929553149,0.775700944358152,2.19492832727273e-05,0,FALSE
