"OTU","Genus","Phylum","p_value","p_adj_BH","control","Lung.cancer","in_top_panel"
"RSV_genus580","Mogibacterium","Firmicutes",0.400949573257598,0.914468534261934,0.0027886959629091,0.00195287966666667,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.418877128396273,0.914468534261934,0.00138371456763637,0.000582824,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.773571988155326,0.914468534261934,0.00201779577890909,0.00190008633333333,FALSE
"RSV_genus589","Blautia","Firmicutes",0.766833173562899,0.914468534261934,8.54126418181818e-05,0,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.33395376767685,0.914468534261934,0.000205211633454545,0.000253454,FALSE
"RSV_genus592","Catonella","Firmicutes",0.029780468165368,0.517352489761339,0.000813160207272726,5.74466666666667e-05,FALSE
"RSV_genus600","Howardella","Firmicutes",0.319222896950348,0.914468534261934,2.33663727272727e-05,0,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.814928366812458,0.914468534261934,1.59304534545455e-05,0,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.139658471998563,0.914468534261934,0.000279289325818182,0,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.946382714762826,0.975854500634106,0.00237362119781819,0.00823050033333333,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0347394523172963,0.517352489761339,7.09257396363636e-05,3.14e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.558009449088349,0.914468534261934,6.33122785454545e-05,0,FALSE
"RSV_genus625","Moryella","Firmicutes",0.583397278903051,0.914468534261934,1.83195898181818e-05,0,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.0297109540379955,0.517352489761339,0.00314229164254546,0.000497869666666667,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.143316308242387,0.914468534261934,0.000225955662909091,0,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.366422403236858,0.914468534261934,0.00271194196036363,0.00130878,FALSE
"RSV_genus644","Peptococcus","Firmicutes",0.207652378865113,0.914468534261934,0.000766790306181818,0.000138829,FALSE
"RSV_genus646","Filifactor","Firmicutes",0.0533600124971999,0.55305880718871,0.00177999798436364,0,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",0.317769289770455,0.914468534261934,0.000323414414909091,5.74466666666667e-05,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.213101952404605,0.914468534261934,0.00377935172218182,0.001723395,FALSE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.832651468286445,0.914468534261934,4.18216e-06,0,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.59673584387599,0.914468534261934,0.000258349682909091,0,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.790322427066443,0.914468534261934,8.09415563636364e-06,0,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.683702994981295,0.914468534261934,5.19878407272727e-05,0,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.85486419546139,0.914468534261934,3.77913236363636e-06,0,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.622859115084256,0.914468534261934,0.00175679964290909,0.000918407333333333,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.824552950745666,0.914468534261934,5.6218584e-05,0,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.622184520714026,0.914468534261934,6.18209149090909e-05,0,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.765351260931001,0.914468534261934,8.21314705454546e-05,0,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.759515512348452,0.914468534261934,7.71322327272728e-06,0,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.990885029930472,0.990885029930472,0.000427376124,0.000909569666666667,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.726440019751226,0.914468534261934,0.000147434732,0.000402125666666667,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.828554305468413,0.914468534261934,1.87242654545455e-06,0,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.865769026520175,0.914468534261934,7.46250447272727e-05,9.0957e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.804003149155706,0.914468534261934,4.84193818181818e-06,0,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.114641330826783,0.880653859533017,0.00292363480872727,0.0110402326666667,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.74280729408764,0.914468534261934,9.77072036363636e-06,0,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.722069077051154,0.914468534261934,0.00105312885163636,0.00346138666666667,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.595042937302422,0.914468534261934,7.63077272727273e-05,0,FALSE
"RSV_genus729","Dialister","Firmicutes",0.607167081631389,0.914468534261934,0.00255561948181819,0.00112730866666667,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.351556799347775,0.914468534261934,0.00536718770254546,0.00170199233333333,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.0275573428119509,0.517352489761339,0.00071927828109091,0,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.803806715004565,0.914468534261934,0.00158458157781818,0.00101840266666667,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.187293193541911,0.914468534261934,9.96063367272728e-05,0,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.323146320837375,0.914468534261934,0.057177881429091,0.0397658526666667,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.954505410456347,0.975854500634106,0.0271414576534546,0.0255759193333333,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.159962691790969,0.914468534261934,0.0190211871010909,0.007667802,FALSE
