"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus716","Solobacterium","Firmicutes",0.562322087680029,0.698604624520511,0.00289852866911765,0.00304217573861171,0.00286190169116081,0.00280773158189217,0.00320255310050251,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.816083465393836,0.868989536625445,2.52935273109244e-05,1.85897039045553e-05,2.6368774227902e-05,3.41103672431333e-05,3.98167869346734e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",8.96022442847551e-09,1.68253103156929e-07,0.000759611940126051,0.00105571019414317,0.000919171478168264,0.000935240788402849,0.000913575836180904,TRUE
"RSV_genus728","Centipeda","Firmicutes",0.523075436124747,0.65481295337098,4.24550724789916e-05,5.52116279826464e-05,7.24846794462194e-05,6.44401912512716e-05,7.44990512562814e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.00709051846936458,0.0226900127630908,0.00205912571743697,0.00234927096637744,0.00230003443982961,0.00234569126246185,0.00245830410150753,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.842520556918691,0.889912338245367,0.0051875058277311,0.00553411903145336,0.00541095082428115,0.00487383129094609,0.00507751245326633,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.262228679029768,0.414174268747951,0.000544210608193277,0.000641383133405639,0.000712574260915867,0.000681175094608342,0.00068717484522613,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.00377624168309656,0.0138735835748548,0.00158828468907563,0.00155538211605206,0.00149264487752929,0.00138668047711089,0.00136141831356784,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.461404639120195,0.618868127073913,7.7398412815126e-05,9.3714409978308e-05,0.000101258891373802,9.27761831129197e-05,9.99246221105528e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.184204365512039,0.324276435120152,0.0597275442993698,0.0570824196767895,0.0562676767507987,0.0591493934476093,0.0594368219587939,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.0523475980042392,0.122871445315506,0.0248840985934874,0.0260686586843818,0.0276850766826411,0.0263980769776195,0.0263653235407035,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.0843368786571682,0.175343988124727,0.0172368188203781,0.0193222644501084,0.0195552391054313,0.018116295484232,0.0182115546030151,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.442271581094423,0.607673961015915,6.43781218487395e-05,3.75353036876356e-05,3.38679265175719e-05,3.86946856561547e-05,5.88981979899497e-05,FALSE
