"OTU","Genus","Phylum","p_value","p_adj_BH","X70.75.bpm","X.60.bpm","X60.70.bpm","X75.85.bpm","X85..bpm","in_top_panel"
"RSV_genus561","Anaerococcus","Firmicutes",0.0167511608807825,0.168022553330389,7.444703567889e-05,6.79223562753037e-05,5.12384096916299e-05,6.17174589331075e-05,5.72237620320856e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.348549929264305,0.604132430261905,3.9196e-05,2.94773846153846e-05,3.41985190895742e-05,1.70779881456393e-05,2.47905494652406e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.73362560901298,0.902006232781425,3.62790763131814e-05,5.00642732793522e-05,9.59520433186491e-05,3.86639712108383e-05,0.000139132112299465,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.283430972034094,0.598146058138205,2.71596481665015e-05,2.57514696356275e-05,1.97592577092511e-05,9.96896443691787e-06,1.87525614973262e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.96505135215383,0.983656172671008,0.00424722073141725,0.00436419807489879,0.00445394132158591,0.00466477760372566,0.00493860387032086,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.267618025070823,0.598146058138205,3.78562903865213e-05,7.0793076923077e-05,4.743156020558e-05,6.28299144792549e-05,6.57706831550802e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.662033619051216,0.847603648633753,1.49782329038652e-05,3.32863259109312e-05,1.33605763582966e-05,1.24902819644369e-05,5.86656310160428e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.855699615352876,0.939046980484649,0.00010718321506442,0.000112173008097166,9.92992496328929e-05,9.96126020321761e-05,0.000113357796791444,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.981597078377138,0.987439918129383,0.000451886887016848,0.00049367416194332,0.000518530213656388,0.000523748779847587,0.000508636217914439,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.00110992367641672,0.0267967287592036,0.00249507453716551,0.0028303655242915,0.00273785006534508,0.00256694523454699,0.00241941048663102,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.678881890172551,0.856899437917009,0.00124593928344896,0.00118690568825911,0.00117201424596182,0.00124784232006774,0.00138666879946524,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.0573718036409532,0.265152414019936,0.00183067682259663,0.00206474245546559,0.00189607735756241,0.00187225108467401,0.00174520271256685,FALSE
"RSV_genus589","Blautia","Firmicutes",0.366410106908351,0.620579880375626,0.000168050656095144,0.000240159866396761,2.27381380323054e-05,9.9045183742591e-05,8.43654879679144e-05,FALSE
