"OTU","Genus","Phylum","p_value","p_adj_BH","White","Black","Mexican","Other","Other.Hispanic","in_top_panel"
"RSV_genus579","Incertae Sedis","Firmicutes",3.04758066238505e-36,1.47154609126592e-35,0.00044346792268623,0.000502014732329569,0.000639229338596491,0.000452046439065108,0.000436259057768924,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",1.23389125727033e-13,2.78036829971581e-13,0.00239967234452596,0.00262448194855709,0.00280611182690058,0.00229965549248748,0.00248709764143426,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.000628450173043098,0.000849664633954268,0.00117114291393905,0.00122478725386868,0.00112938943450292,0.0011283090409015,0.00103993042629482,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",8.08625635248213e-53,7.59209624205266e-52,0.00152525190462754,0.00191825003387703,0.00242413376549708,0.0021041254081803,0.00188018408266932,FALSE
"RSV_genus589","Blautia","Firmicutes",0.200513228820148,0.221481932487615,5.30385736455982e-05,5.57186787954831e-05,8.78926391812865e-05,6.13960016694491e-06,3.31383984063745e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.000127264422593893,0.000182268537443796,0.000209236100733635,0.000172440364700962,0.000184388535087719,0.000220322479131886,0.000172146629482072,FALSE
"RSV_genus592","Catonella","Firmicutes",5.53860136724639e-06,9.00022722177539e-06,0.000716823534988713,0.000757320790046005,0.000826993909356724,0.000725589062604341,0.000763399883466135,FALSE
"RSV_genus600","Howardella","Firmicutes",1.75762066766524e-14,4.24339846907752e-14,2.37537446388262e-05,2.70002442492681e-05,1.44982444444444e-05,1.3622878130217e-05,1.64272579681275e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.0069024451823209,0.00864083878379431,1.45274325620768e-05,1.43783525721455e-05,3.65515029239766e-05,1.39017095158598e-05,4.09524103585657e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",7.96731603878483e-64,1.03575108504203e-62,0.000195499730248307,0.000213799283563362,0.000389461188888889,0.000299225973288815,0.000278537879482071,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.000672327110664452,0.000901772077002321,0.00243177580671557,0.0023488649343371,0.00241320141169591,0.00225982828964942,0.00222889686952191,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",9.70860580197099e-05,0.00014392582285378,9.92485942437923e-05,7.50162802174822e-05,0.000113362649122807,0.000113246237896494,3.28740199203187e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",1.01730440099874e-18,2.6863194338873e-18,5.83424785553047e-05,7.9488486407361e-05,9.73332315789474e-05,3.49153439065108e-05,6.13387569721116e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",7.10833391440858e-32,2.93002056471963e-31,5.9952203724605e-06,1.79574985361773e-05,2.16274497076024e-05,1.01656786310518e-05,1.18890956175299e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",1.42180310912792e-05,2.24565163965064e-05,0.00319855116027088,0.00338191887411125,0.00306002930643275,0.00343860321118531,0.00329236559063745,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",1.43258563940801e-30,5.63039472232452e-30,0.000179192978273137,0.000245344406942702,0.000189560155555556,0.000129940819699499,0.000164983362549801,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",1.54250608734467e-23,5.01314478387017e-23,0.00241503850451467,0.00325254723212046,0.0026630568994152,0.00213470130133556,0.00255804314342629,TRUE
"RSV_genus644","Peptococcus","Firmicutes",1.50491190831389e-117,2.54330112505047e-115,0.000421846512415349,0.000707488571727312,0.000958240508187135,0.000659855439899833,0.000755493604581673,FALSE
"RSV_genus646","Filifactor","Firmicutes",7.16498499991213e-101,6.05441232492575e-99,0.00091976284255079,0.00161452418444166,0.00200281188830409,0.00129435543989983,0.00143953553884462,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",1.39287374289254e-39,8.28597259272162e-39,0.000243397780474041,0.000275922207444584,0.00038629681871345,0.000303547721202003,0.000288272543824701,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",1.27833451832428e-95,5.4009633399201e-94,0.00258311096839729,0.00341847129025513,0.00475798177953216,0.00369333057011686,0.00393650906374502,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.313186451258165,0.332883712343584,5.16354288939052e-06,3.04188122124634e-06,4.9760052631579e-06,1.00579298831386e-05,8.84926294820717e-07,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.00595464109153417,0.00750995779454683,0.000124213327595937,0.000134153328314513,0.000417711892397661,8.53278005008347e-05,0.000141197011952191,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.000177278739794397,0.000247604190291348,4.63051693002257e-06,6.38573525721456e-06,2.07505555555556e-06,6.63022621035058e-06,3.24071414342629e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",3.39047370934391e-11,6.82131020094192e-11,0.00011440205248307,6.75700543705563e-05,0.000133397756140351,4.06038288814691e-05,0.000369611676294821,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.000120124620833417,0.000173513341203824,1.55781613995485e-05,5.51049602676704e-06,8.42726257309941e-06,9.29948747913189e-06,5.11129482071713e-07,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",9.33928655393104e-12,1.90161376821006e-11,0.00150124841845372,0.00165929744458385,0.00183304879181287,0.00162708744657763,0.00150695779780877,FALSE
