"OTU","Genus","Phylum","p_value","p_adj_BH","English","Spanish","in_top_panel"
"RSV_genus1054","Alysiella","Proteobacteria",7.02294323001682e-05,0.000188393239027435,7.18703382646471e-05,9.13181962406015e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.190248757487963,0.277442804812129,1.00533579899025e-05,7.02418571428571e-06,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.00524281318284096,0.0109387089864213,0.000216818889162851,0.000218155464661654,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.179161032149079,0.267948800293756,0.000586444051426558,0.000487230030075187,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",2.45048772321794e-16,1.53382379712531e-15,0.0257746324939534,0.030238907962406,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.562606215468543,0.646805785130502,4.95826784078901e-05,4.32985706766917e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.807452722575789,0.85896748680612,6.53850630503699e-05,0.000181052783458647,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.217030073759041,0.300640020207196,2.17406680756135e-06,2.82813458646617e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.263377040857107,0.350227678291917,6.1172217917107e-06,8.07994887218045e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",2.04819276299227e-25,2.16340360591059e-24,9.2804260537748e-05,0.000119293110526316,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",1.19779721377846e-22,9.63941567278852e-22,2.97956395444405e-05,5.80891233082707e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.000770512803124088,0.00186023805325673,1.28664608430198e-05,1.85823714285714e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",3.68506882765175e-10,1.41540143607533e-09,2.14276637313608e-05,2.41201443609023e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.536824718459914,0.630023454303649,0.00465950415979806,0.00474719284360902,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.7647612301135,0.828491332622958,1.00893097334742e-05,2.48120977443609e-06,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",7.43600203754488e-32,1.25668434434509e-30,1.06490637548433e-05,2.71019796992481e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",3.03265012546502e-06,9.49107168895535e-06,0.000593902391334976,0.000484306909022556,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.808141008296882,0.85896748680612,0.000464531825642831,0.00132105190526316,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.120093233277432,0.189679966578375,6.92166620875896e-05,2.64016541353384e-05,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.0335851210219488,0.0603817601352058,6.57168399671246e-05,8.9325377443609e-05,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",2.61431981273167e-32,4.9091116483517e-31,0.00482547842655864,0.00742175998045112,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",3.62490705791652e-39,8.7515613255413e-38,0.00517437452800279,0.00823212851804513,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",9.52168557020332e-27,1.07277657424291e-25,0.054656929245744,0.0683576467917294,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",3.80972819860755e-15,2.14614688521558e-14,0.00129635237783257,0.00162128384285714,TRUE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.826687427069772,0.873188594842446,0.000528284213103205,0.0005395000518797,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",1.01409351560487e-16,6.59160785143166e-16,0.000275665658330398,0.000434782418045113,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.542390313451355,0.632165261884682,5.08641079018434e-05,1.54319e-05,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.493312377492624,0.591642785197595,0.000420599916754727,0.00118822481278196,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.0419647324691849,0.073875414450961,2.67128092051192e-05,2.11600045112782e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.0397355608978333,0.0706874714919351,0.000179507625220148,0.000854062017293233,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.265261200126422,0.350227678291917,1.76125837736292e-05,1.03806819548872e-05,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.502763377034168,0.598359230413904,4.18170967476812e-05,3.80983120300752e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",1.78514452282654e-30,2.3206878796745e-29,0.00401185947258423,0.00548633104060151,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",4.65726342582199e-15,2.53895973859328e-14,0.000527805997299518,0.000543155387218046,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.000468549374906643,0.00116448300528269,1.33493247622402e-05,1.73705037593985e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",7.24646534403497e-23,6.12326321570955e-22,0.00019366341246918,0.000302415098496241,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",3.54510581334506e-10,1.39330902896585e-09,0.000567825893741928,0.000747737984210526,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.978917050402375,0.98474393760715,3.75177022425737e-06,3.90845864661654e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.000297301780474519,0.00077298462923375,7.78710238346837e-05,0.000331918563157895,TRUE
