"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus1060","Eikenella","Proteobacteria",0.400871465395965,0.806515210141882,0.000323729153818182,9.84537e-05,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.668964216710669,0.813037422174226,0.000606594229090909,0.0009087875,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.598165524859418,0.813037422174226,0.0258712847454546,0.0437165613,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.330292693486965,0.767207766697114,6.26230661818182e-05,0,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.00847406402779428,0.286423364139447,0.0001319372,0.0063475081,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.594568864918005,0.813037422174226,3.05048181818182e-06,0,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.649122689680308,0.813037422174226,1.63779749090909e-05,0,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.661718900984174,0.813037422174226,0.000125077313818182,9.1243e-05,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.356788385775906,0.793384699949055,4.53401767272727e-05,0,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.156233179627777,0.614956864632649,1.79964970909091e-05,1.13689e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.45666703596835,0.813037422174226,2.51691185454545e-05,1.304e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.275315563024841,0.707839484691873,0.00522610350327273,0.0034920919,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.607319097528828,0.813037422174226,1.26627621818182e-05,0,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.324829987287215,0.767207766697114,2.05877636363636e-05,0,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",0.369291617907399,0.806515210141882,0.000902975710545455,0.0005957639,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.760140232772233,0.823485252169919,0.00109018026509091,0.0052057413,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.254765111778909,0.707839484691873,0.000192039179636364,1.28263e-05,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.0522546768981654,0.519472964458232,0.000129070325090909,0.0003561967,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.589471969332665,0.813037422174226,0.00499902861127272,0.0041409745,FALSE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.70719823112196,0.813037422174226,0.00551861014181818,0.0037663386,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.0197083039576881,0.370078152094366,0.0555108643807273,0.0898472178,FALSE
"RSV_genus1234","Mannheimia","Proteobacteria",0.471487867386616,0.813037422174226,0.00132115482945455,0.0009114576,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.204497263638992,0.707839484691873,0.000596372760727273,0.0190998985,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.209608166141179,0.707839484691873,0.000362360277090909,6.46645e-05,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.631694955768975,0.813037422174226,2.19492832727273e-05,0,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.257656302524057,0.707839484691873,0.000832889365090909,0.0052969577,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.604726831941636,0.813037422174226,2.59915752727273e-05,0,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.90347781006273,0.92993757349306,0.000299240845818182,0.0123069724,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.474807355918653,0.813037422174226,1.93310607272727e-05,0,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.606121953617313,0.813037422174226,3.56427647272728e-05,1.223e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.0421104463409951,0.474444362108544,0.00512502302581818,0.0015732847,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",0.144887655691634,0.614956864632649,0.000649293977454547,0.000174506,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.453020757952117,0.813037422174226,1.68612767272727e-05,0,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.767261085097071,0.825905244467548,0.000340735167272727,9.48e-06,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.240210317087511,0.707839484691873,0.000790758004363636,0.0006997104,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.664489549501684,0.813037422174226,9.28237527272727e-06,0,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.651160650264851,0.813037422174226,0.000194986858909091,1.71018e-05,FALSE
