"OTU","Genus","Phylum","p_value","p_adj_BH","control","Diabetes","in_top_panel"
"RSV_genus569","Peptoniphilus","Firmicutes",0.508863307625007,0.677148810934065,5.55397138181818e-05,6.57482190082645e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.32301807051216,0.491802287536533,2.34220389090909e-05,6.48356198347107e-06,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.000410987977548611,0.00434106051285721,0.000122288470545455,9.36120165289256e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",3.19686741819462e-05,0.000450225494729075,0.000612991496,0.000365765382231405,TRUE
"RSV_genus580","Mogibacterium","Firmicutes",0.858702628851418,0.924335950801845,0.0027886959629091,0.00289133381198347,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",1.7087863636845e-06,7.21962238656703e-05,0.00138371456763637,0.00122234501859504,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.70551135084024,0.833786141902102,0.00201779577890909,0.00207738128512397,FALSE
"RSV_genus589","Blautia","Firmicutes",0.798188653065303,0.88745975242129,8.54126418181818e-05,1.02587851239669e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.207472932766157,0.393932287941705,0.000205211633454545,0.000245009969008264,FALSE
"RSV_genus592","Catonella","Firmicutes",0.00690585131349941,0.0284655822434488,0.000813160207272726,0.000709474882231405,TRUE
"RSV_genus600","Howardella","Firmicutes",0.264672245837673,0.442440776939391,2.33663727272727e-05,2.45995371900826e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.11686685511829,0.269028787779309,1.59304534545455e-05,2.21392355371901e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.00116306288308021,0.00833376835783276,0.000279289325818182,0.000228201745867769,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.752798115640038,0.853844842571587,0.00237362119781819,0.00262237404958678,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.57803211166482,0.724485763414906,7.09257396363636e-05,5.61281033057851e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.00133642829413426,0.00836505117439593,6.33122785454545e-05,4.71748595041322e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",0.439433683985205,0.629358411809318,1.83195898181818e-05,1.49360103305785e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.00132246906484131,0.00836505117439593,0.00314229164254546,0.00269313256404959,TRUE
"RSV_genus630","Shuttleworthia","Firmicutes",0.0481530101837475,0.133407520017268,0.000225955662909091,0.000253668952479339,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.233561647185306,0.420877942327768,0.00271194196036363,0.00311751839049587,FALSE
"RSV_genus644","Peptococcus","Firmicutes",2.06716905249916e-05,0.000420523868086123,0.000766790306181818,0.000609978842975207,TRUE
"RSV_genus646","Filifactor","Firmicutes",9.7310558225007e-07,5.48182811334206e-05,0.00177999798436364,0.00129011764669421,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",7.91648099099601e-11,1.33788528747833e-08,0.000323414414909091,0.000216509297520661,TRUE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.000611391658215901,0.00533728249689427,0.00377935172218182,0.00332772312809918,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.251893986119763,0.442440776939391,4.18216e-06,2.55600826446281e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.190866772562882,0.387924033008267,0.000258349682909091,7.27218987603306e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.727900401715964,0.842569643082178,8.09415563636364e-06,4.75889669421488e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.121515582925229,0.270212283083733,5.19878407272727e-05,7.46550743801653e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.0598691577488191,0.158091994680476,3.77913236363636e-06,5.23161776859504e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.0288153897462155,0.090181497539082,0.00175679964290909,0.00158244464876033,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.3152877316645,0.484396605920914,5.6218584e-05,1.42467148760331e-06,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.497822200426518,0.66771390374668,6.18209149090909e-05,8.78011673553719e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.443247260824177,0.629485605708285,8.21314705454546e-05,1.26035743801653e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.0883201577597297,0.210226854385836,7.71322327272728e-06,3.33438429752066e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.00046539900768335,0.00462661366461683,0.000427376124,0.000443453345041322,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.00203472952021742,0.0110925577069918,0.000147434732,0.000115235146694215,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.209786425531085,0.393932287941705,1.87242654545455e-06,5.78675619834711e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",1.93002381684463e-05,0.000420523868086123,7.46250447272727e-05,5.08642768595041e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.576021706228493,0.724485763414906,4.84193818181818e-06,2.45706756198347e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.574135699477941,0.724485763414906,0.00292363480872727,0.00319670901652893,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.621615951820025,0.766810918668497,9.77072036363636e-06,3.70283780991736e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.130537002621156,0.286503291467212,0.00105312885163636,0.000878056931818182,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.181277959217818,0.37822191491125,7.63077272727273e-05,5.22369876033058e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.0121649239694882,0.0446928728444239,0.00255561948181819,0.00208322608264463,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.0110751457127647,0.0425386278513007,0.00536718770254546,0.00469277780165289,TRUE
"RSV_genus735","Selenomonas","Firmicutes",0.381049344895407,0.55514947661486,0.00071927828109091,0.0007497345,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.035869671059409,0.102745328966782,0.00158458157781818,0.00142717709297521,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.415603776702927,0.600316566348673,9.96063367272728e-05,9.3474847107438e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.71656851929287,0.838302734716453,0.057177881429091,0.0580234843078513,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.33095503124181,0.499387502498803,0.0271414576534546,0.0275416070433884,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.876342663028995,0.928207809160366,0.0190211871010909,0.0195580240991736,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.90501500788757,0.938328443760732,4.43542414545454e-05,7.75990268595042e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.00130390434542602,0.00836505117439593,0.000648898389818181,0.000391183948347107,TRUE
