"OTU","Genus","Phylum","p_value","p_adj_BH","X30.39","X14.19","X20.29","X40.49","X50.59","X60.69","in_top_panel"
"RSV_genus510","Dolosigranulum","Firmicutes",0.0559840438090862,0.0788441950311297,1.20133910447761e-06,3.15665562130177e-06,2.38183084862385e-06,3.75990262843489e-06,1.60179147540984e-06,2.10721247563353e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",5.05285440081435e-47,2.75462062496008e-46,0.0245604720710448,0.0294644999928994,0.0264108691089449,0.0228054766523297,0.0233416899908197,0.0235993500363873,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",7.43983767549452e-42,3.49259046432937e-41,0.00441360790626866,0.00127809448343195,0.00306920536009174,0.00586409832974909,0.00551971001770492,0.00755269329499676,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.887690310963984,0.898610105326824,4.23482931343283e-05,2.32929467455621e-06,6.11444036697248e-06,3.15347670250896e-06,3.9121862295082e-06,2.65059129304743e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.0511566430370709,0.072928740176467,6.64258507462687e-06,6.63333136094675e-06,6.60593864678899e-06,0.000215280979091995,3.21368262295082e-06,3.6789330734243e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.154699184687957,0.205859544978463,2.63706656716418e-05,1.75462378698225e-05,7.05872356651376e-05,2.5085284348865e-05,0.000292470285245902,3.71375451591943e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",6.23584782296572e-05,0.000107536559396041,0.318972560977313,0.333248517290533,0.321741069442087,0.32368595081362,0.322497423982295,0.317054266612086,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.390839779202086,0.461901557238829,3.04009492537313e-05,0.000137925212426035,9.00552035550459e-05,4.22358894862604e-05,3.54940773770492e-05,6.2784097465887e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.417044563844388,0.482743364997956,4.82962746268657e-06,6.78157928994083e-06,6.37507798165138e-06,3.69534575866189e-05,1.54347291803279e-05,6.64154580896686e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",5.66247748750257e-64,4.55694616851397e-63,0.000318773473432836,7.13881940828402e-05,0.000230028791857798,0.000302007430107527,0.000221359315409836,0.000164617917478883,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",2.23606336245418e-93,3.4354064386796e-92,9.87723194029851e-05,1.18185644970414e-05,6.9588744266055e-05,9.08241827956989e-05,9.87056137704918e-05,7.90476211825861e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.195335770079284,0.250088978359083,4.47890794029851e-05,4.6730924852071e-05,2.79374707568807e-05,4.12162264038232e-05,1.9515366557377e-05,2.2816885640026e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",1.86447098308711e-11,4.31637802933865e-11,3.03433594029851e-05,7.98999053254438e-06,2.47000378440367e-05,3.74080716845878e-05,2.63557213114754e-05,1.64879005847953e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0253232469048595,0.0375406028677303,1.4561343880597e-05,6.54884053254438e-05,5.28408939220183e-05,1.51158249701314e-05,2.44627606557377e-05,4.84070350877193e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",8.00109677647873e-09,1.64900653076208e-08,4.88567528358209e-05,4.79883136094675e-06,2.76623308486238e-05,2.10215734767025e-05,1.1862926557377e-05,1.74217316439246e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",1.48824895629847e-47,8.38380245381474e-47,0.00560166771343284,0.00291894831065089,0.00487080250401376,0.00548018487634409,0.00555079155606558,0.00480593354256011,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.000374107559847149,0.000638628056708769,5.11665170149253e-05,2.77758449704142e-05,3.19812178899082e-05,4.04821714456392e-05,3.2617622295082e-05,5.44420188434048e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",6.09270944517662e-11,1.37289052831313e-10,1.61900202985075e-05,1.40391029585799e-05,2.51213428899083e-05,1.70582449223417e-05,9.00367344262296e-06,2.67544723846654e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",3.09647070381534e-53,2.18043145393663e-52,0.000129068994029851,5.53717171597634e-05,0.000135166799311927,0.000116000747909199,8.52808859016395e-05,6.00726621182587e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",4.7688723144441e-81,4.74082012435913e-80,0.000721626459701492,0.00020339120295858,0.000537313235665137,0.000675739776583034,0.00053421447147541,0.000265893599090318,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",1.94902396649989e-19,5.39975492358167e-19,0.00267192907940298,0.00194774001420118,0.00240240961009175,0.00268432715531661,0.00272401467278689,0.00274555519038337,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",3.28967342410466e-66,2.77977404336844e-65,0.00153761916716418,0.000692285821301776,0.00135464161869266,0.00133049175866189,0.00115533787081967,0.000850522118258609,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",8.04215691416095e-06,1.46142421343355e-05,0.00196789992716418,0.00152257694378698,0.00196188836525229,0.00198320784169653,0.00186438207344262,0.0020089350662768,FALSE
"RSV_genus589","Blautia","Firmicutes",0.116226101786584,0.158404929047844,1.48498764179104e-05,0.000109530980473373,5.78300166284404e-05,7.49564318996416e-05,5.23374163934426e-06,4.40673814165042e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.0102805632773304,0.0160871777210077,0.000194840608358209,0.000185365404733728,0.00018746558543578,0.00017312549223417,0.000194264647868852,0.00022955971280052,FALSE
"RSV_genus592","Catonella","Firmicutes",3.29515581833137e-23,9.94430952317859e-23,0.000841127891343285,0.000661830201183432,0.000905670576261468,0.000759400976105137,0.000727680443934427,0.000593387737491878,FALSE
"RSV_genus600","Howardella","Firmicutes",3.90173605350189e-38,1.73524577116268e-37,2.81373468656716e-05,7.220224852071e-06,2.21814541284404e-05,2.65429181600956e-05,2.25327639344262e-05,1.9190400259909e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.797959988349285,0.82733274865662,1.58906585074627e-05,4.2889849704142e-05,7.52480848623853e-06,1.01483327359618e-05,5.48659672131148e-06,2.05025782975958e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",9.34849143012257e-16,2.39378038134957e-15,0.000268502654925373,0.000263339588757396,0.000296388345183486,0.000240705527479092,0.00022559063409836,0.00022709201754386,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.1666533816229,0.220034542923985,0.00231096837313433,0.00239320722071006,0.00227298290538991,0.00222080806332139,0.00242001596393443,0.00261103263222872,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.932983261971089,0.932983261971089,5.75966805970149e-05,0.000213874838461539,6.78861313073395e-05,6.67100955794504e-05,3.64204386885246e-05,9.75278648473035e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",1.67477311371875e-89,2.0216904015605e-88,6.35721379104477e-05,0.000142076941420118,0.000110894441513761,4.23468309438471e-05,1.99554301639344e-05,1.64791039636127e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",6.00229690763752e-23,1.77962838138727e-22,1.88064179104478e-05,1.92021834319527e-06,1.36164799311927e-05,1.85972007168459e-05,1.44626347540984e-05,8.83770110461338e-06,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.0161473414998305,0.0248081883042851,0.00335274159940299,0.00311817910710059,0.00332589949827981,0.00308386849103943,0.00338599944655738,0.00329271380701754,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",7.26255708417177e-35,2.66820032005441e-34,0.000230892666268657,0.000116456575739645,0.000264542806192661,0.000188366381123058,0.0001579292,0.000172873178037687,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",8.83718715993536e-37,3.55591578578351e-36,0.00244000544477612,0.00198868747337278,0.00218838453325688,0.00248362652628435,0.00364954661377049,0.00326681526835607,TRUE
"RSV_genus644","Peptococcus","Firmicutes",1.32324221013305e-45,6.98837292226515e-45,0.000790696080597015,0.000515615576331361,0.000760472541284403,0.00068970272162485,0.000616707788196721,0.000491962817413905,FALSE
"RSV_genus646","Filifactor","Firmicutes",7.68175362793173e-88,8.65477575413642e-87,0.00186822753552239,0.000551681633136095,0.00154848973623853,0.00190669332437276,0.00143600124918033,0.000907609456790122,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",6.61297433930696e-104,1.34464916069946e-102,0.000339487527761194,0.000295036137869823,0.000412281634174312,0.000285967505973715,0.000229974212459016,0.000143133830409357,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",5.00563066920574e-36,1.96732926301342e-35,0.00363425458865672,0.00315140401597632,0.00418410024885321,0.00362445454121864,0.0031574577842623,0.00276045744834308,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.64420301645738,0.689052593552514,2.04194507462687e-06,9.2044349112426e-06,2.49041341743119e-06,1.03669091995221e-05,1.57803868852459e-06,2.55998700454841e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.0845559793517997,0.117130823856182,8.97113546268657e-05,0.000376573264497041,0.000128188751146789,0.000280701182198327,5.27422747540984e-05,0.000103107352826511,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",7.08816982243779e-06,1.31637439559559e-05,6.75230626865671e-06,2.0696899408284e-06,7.09757855504587e-06,3.76235304659498e-06,1.02979868852459e-06,7.38738791423002e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.280571186099145,0.348650959196732,4.49820704477612e-05,0.000231162556213018,7.24508767201835e-05,0.000285123754480287,3.05301127868852e-05,6.4083783625731e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.335574276890674,0.408000379816719,4.77780417910448e-06,2.85907485207101e-05,6.49088417431193e-06,3.35626045400239e-06,5.71143540983607e-06,8.10888304093567e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.0149201494893804,0.0231330758138099,0.00161152025671642,0.00172036704556213,0.0015681406668578,0.00158085429330944,0.00147789855016393,0.00171725469330734,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.0468463538894217,0.0676669556180535,3.7062263880597e-05,0.000117885295266272,6.44721731651376e-06,2.85232508960573e-05,6.58453901639344e-06,3.02818908382066e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.432334754126557,0.497037914608083,6.08534286567164e-05,0.000244633524852071,0.000138333966743119,8.48425065710872e-05,7.88161278688525e-05,8.84791981806368e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.540857945386024,0.604005930629869,2.20420173134328e-05,0.000121674030769231,4.75833732798165e-05,7.08651642771804e-05,9.49561180327869e-06,2.14521397011046e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",1.01787638727123e-13,2.49305955722954e-13,4.17858149253731e-06,6.64497041420118e-08,1.39287901376147e-06,5.70535304659498e-06,7.69288721311475e-06,5.66631384015595e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",4.49585850149919e-87,4.74875054220852e-86,0.000576336332537315,0.000188090092899408,0.000495971901949541,0.000489664378136201,0.000334544881311475,0.000197573517868746,FALSE
"RSV_genus703","Eggerthia","Firmicutes",1.2687256446e-49,7.65766549776429e-49,0.000165573783880597,4.04455798816568e-05,0.000146988305619266,0.0001318884390681,9.33486629508196e-05,6.22872969460688e-05,FALSE
