"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus569","Peptoniphilus","Firmicutes",0.471739292491362,0.711820896705716,5.55397138181818e-05,0.000111374212765957,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.87317824048301,0.92809511095364,2.34220389090909e-05,4.51292553191489e-06,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.130809071221903,0.37469039044918,0.000122288470545455,0.000145967159574468,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.27877840739175,0.547831986618672,0.000612991496,0.000479456734042553,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.634451767895388,0.81229052101758,0.0027886959629091,0.00332073457446809,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.0256897099404976,0.150636669967387,0.00138371456763637,0.00167024344680851,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.750100228353931,0.864665201215104,0.00201779577890909,0.00222254061702128,FALSE
"RSV_genus589","Blautia","Firmicutes",0.168053017589081,0.420902841566371,8.54126418181818e-05,1.63984680851064e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.0588571552768523,0.25504767286636,0.000205211633454545,0.000180241265957447,FALSE
"RSV_genus592","Catonella","Firmicutes",0.0226348852910901,0.141677615340527,0.000813160207272726,0.000798743627659574,FALSE
"RSV_genus600","Howardella","Firmicutes",0.716428705361733,0.85414256404692,2.33663727272727e-05,2.14451170212766e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.0154222286715428,0.113319854151771,1.59304534545455e-05,2.8403085106383e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.00294849809769201,0.0415246815424959,0.000279289325818182,0.000228131457446809,TRUE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.527572684927371,0.742998197939381,0.00237362119781819,0.00299303164893617,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.00548382537540898,0.0514870271357843,7.09257396363636e-05,8.86090212765957e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.409837837177967,0.659630121851066,6.33122785454545e-05,0.000120004106382979,FALSE
"RSV_genus625","Moryella","Firmicutes",0.602203577052247,0.795096910326795,1.83195898181818e-05,1.78316170212766e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.155881297742703,0.420902841566371,0.00314229164254546,0.00298806790425532,FALSE
