"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1.3.per.day","X4.6.per.day","X7.10.per.day","X11.20.per.day","X20..per.day","in_top_panel"
"RSV_genus735","Selenomonas","Firmicutes",0.0672517317811566,0.105236506213106,0.000646191231588289,0.000736118191919192,0.000899802830845772,0.000897257043103448,0.00096044973220339,0.00114191341558442,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.217841730191137,0.285389553506219,0.00155420025377107,0.00133406730808081,0.00138346431343284,0.00147442621982759,0.00121825789830509,0.00169770584415584,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",7.30227256770087e-11,2.93829539033678e-10,8.03928101153505e-05,9.24953787878788e-05,0.000188680582089552,0.000167817060344828,0.000180492094915254,0.000251009064935065,FALSE
"RSV_genus740","Veillonella","Firmicutes",5.93590356443399e-16,3.1203753741299e-15,0.0550764979875777,0.0625205473737374,0.0635426417164179,0.0710568576336207,0.0662485410644068,0.0697094607402597,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",0.00202319599137687,0.00432810281699609,0.0274940032440107,0.0237917791363636,0.0233254052238806,0.0249730239439655,0.0276871426,0.023916034961039,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",2.8889718848196e-09,1.03880052879684e-08,0.0194000354143744,0.0196517655656566,0.0170275558208955,0.0166498367543104,0.0148741316813559,0.014038165987013,TRUE
"RSV_genus749","Sneathia","Fusobacteria",5.05159506717221e-17,2.84573188784034e-16,3.56915789707187e-05,9.1048494949495e-05,6.72199502487562e-05,7.27292543103449e-05,0.000125100359322034,0.000174774558441558,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",7.86073077688502e-05,0.000195362279601995,0.000646668710736468,0.00176850046464646,0.00065233263681592,0.00053598324137931,0.000358495623728814,0.00076966551948052,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.0584378661897111,0.093169805528879,0.000116255096273292,3.60476767676768e-06,3.72614925373134e-06,3.12931034482759e-07,0.000270952983050847,0,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.546001895420796,0.6277164648035,6.8108722715173e-05,1.31998282828283e-05,6.18480597014925e-06,2.5695125e-05,0.000502057142372881,6.03163636363636e-06,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.0278625074564962,0.048543956290184,0.000116246188110027,7.95131818181818e-06,1.03138308457711e-05,0.000165045060344828,7.00369457627119e-05,2.30742597402597e-05,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.788050829892078,0.848284014342428,0.000327174667701863,4.83673737373737e-06,8.67582089552239e-06,4.57344827586207e-06,2.38194576271186e-06,6.57181818181818e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.933213149126899,0.964293057748959,1.03867755102041e-05,6.32384343434343e-06,6.16268656716418e-06,1.31853448275862e-06,6.4264406779661e-07,1.10632337662338e-05,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.172883250326754,0.233738154441771,3.50540590062112e-05,1.43651565656566e-05,4.45141293532338e-05,5.34250560344828e-05,3.37529084745763e-05,5.42857142857143e-07,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.603412178710471,0.684407102027313,3.95555057675244e-06,3.14411616161616e-06,1.45182587064677e-06,6.08634913793103e-06,0.000174945861016949,2.94675324675325e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.140921362498573,0.193623660668772,0.000208168428571429,3.51545707070707e-05,1.76798507462687e-06,3.51036724137931e-05,0.000566393308474576,3.66571688311688e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.426423290507806,0.51110309287815,2.6792298136646e-06,5.91847121212121e-05,6.19935323383085e-07,4.3765775862069e-06,1.80974271186441e-05,4.07418181818182e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.111358415361562,0.162237691345723,0.000164494775510204,0.00133509785858586,8.83714427860697e-06,2.0039349137931e-05,0.000359278254237288,9.7251038961039e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",1.07633231730417e-76,9.09500808122021e-75,0.00154447248181012,0.000934173181818183,0.000813227487562189,0.000444398918103448,0.000296493854237288,0.000285682961038961,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.0666676896006824,0.105236506213106,0.000168183370896185,0.000630041035353535,0.00017221307960199,0.000124190051724138,0.00213580968135593,0.000663535402597403,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.0936378020445951,0.140042376509173,5.80794716060337e-05,5.13513484848485e-05,7.48510895522388e-05,4.82567887931034e-05,6.85791593220339e-05,2.14179350649351e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.119638912075533,0.169174260075944,0.000478809611357587,0.000378166398989899,0.000194236223880597,0.00039757300862069,0.00118312148474576,0.00221917457142857,FALSE
