"OTU","Genus","Phylum","p_value","p_adj_BH","control","Tooth.decay","in_top_panel"
"RSV_genus566","Murdochiella","Firmicutes",1.56135256173236e-20,6.76586110084024e-20,1.97481081081081e-06,4.7250935935936e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",6.39245120369413e-38,4.69706197141003e-37,0.00295827252961472,0.0059877812872873,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.0113172793586799,0.0209789430043997,4.64252990224267e-05,6.76561161161162e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",1.23648444841636e-19,4.8596714367992e-19,7.15187464059805e-06,3.49951561561562e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",2.16093654955573e-39,1.73903941369009e-38,5.56614473835537e-05,0.000141672439439439,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",5.48487102708235e-87,1.85388640715384e-85,0.000109897712478436,0.000940000149149149,TRUE
"RSV_genus580","Mogibacterium","Firmicutes",1.96883861698467e-15,7.23334187544369e-15,0.00217385182058654,0.00289658444144144,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",1.83091169824629e-34,1.14601510001342e-33,0.000725154565267394,0.00164497453453454,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",2.81650030373508e-12,8.98091606285336e-12,0.00152220272685452,0.00202682201001001,FALSE
"RSV_genus589","Blautia","Firmicutes",0.0416367182318438,0.0645560126713908,0.000138696369177688,5.32317847847848e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.337282970542675,0.419123691336119,0.000205836438182864,0.000168172255255255,FALSE
"RSV_genus592","Catonella","Firmicutes",0.000265580691243339,0.000606528875947626,0.000610001727429557,0.000822792381381381,FALSE
"RSV_genus600","Howardella","Firmicutes",3.39286478404152e-54,4.09567248930726e-53,8.65154686601495e-06,3.88209219219219e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.623243593485345,0.675180559609124,2.2196228867165e-05,1.3407044044044e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",6.94416197098452e-08,1.86279900491489e-07,0.00022814903680276,0.000259007564564565,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.814578974401537,0.849776831320122,0.00239553181023577,0.00223130742442442,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0761542303328313,0.112895306370601,8.99509079930995e-05,0.000153040681681682,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.397438496557255,0.47300778815617,7.09236043703278e-05,7.10185965965966e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",3.59894266285379e-39,2.76464231828314e-38,1.81668487636573e-06,2.61677067067067e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.0161577209054157,0.0275823720506591,0.00313694670385279,0.00271656690490491,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",2.9502649066895e-36,2.07747820512719e-35,0.000120179048303623,0.000269134584584585,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.0367801905093175,0.0580451711374574,0.00249800355549166,0.00262701438338338,FALSE
"RSV_genus644","Peptococcus","Firmicutes",4.39052115875116e-27,2.18234728184984e-26,0.000375053698677401,0.000909690057057057,FALSE
"RSV_genus646","Filifactor","Firmicutes",1.42607148222845e-69,2.67784533885119e-68,0.000475726279470961,0.00232340275975976,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",1.68120138986585e-21,7.47692197071919e-21,0.000178266243243243,0.000374206893893894,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",6.4920926300018e-13,2.19432730894061e-12,0.00258858966589994,0.00406400408708709,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",6.07511664288335e-06,1.42596487867679e-05,2.03424669350201e-06,7.21327427427427e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.680043025093086,0.722813026671267,0.000348339384128809,0.00038957944044044,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.0167723398542617,0.0280646082709924,2.14445773433007e-06,1.02986136136136e-05,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.171215097131712,0.235246759473653,0.000168623498562392,0.000109861538538539,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.387980199389952,0.468347526406442,1.50297004025302e-05,1.18202342342342e-05,FALSE
