"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus261","Prevotella 2","Bacteroidetes",0.00169999892557437,0.00393561395098723,0.00164002116453674,0.00272189361104583,0.00238916322008957,0.00184598903786982,0.00148175708112094,0.00159398665198238,0.00155391421740156,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.000277157159440418,0.000709690302203495,0.00523590814376997,0.00525938017861339,0.00508537930774152,0.0051116627408284,0.00519217185693215,0.00574785316740088,0.00629433838363592,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.577454691625506,0.65496538848799,0.0768363734105431,0.0784462289341951,0.0772245892290467,0.0739815979159763,0.0772364281179941,0.0736078628061674,0.0787290998457911,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.233164181840634,0.325073418947815,5.12376996805112e-06,0.000116615246768508,3.74917370441459e-05,2.85674177514793e-05,0.00059722495280236,0.000556429061674009,9.38959516623438e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.189255709297842,0.275513984990616,2.81547715654952e-05,7.71613584018801e-05,2.92957651951376e-05,3.10173786982248e-05,0.000175181904129793,4.03637004405286e-06,5.6947344494223e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",1.63873661441894e-05,4.94547299708574e-05,2.24922172523962e-05,3.65704089306698e-05,3.04203288547665e-05,2.19873372781065e-05,2.7473581120944e-05,1.31070881057269e-05,1.99790457439283e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.679375361486494,0.755358132179062,0.00474550014376997,0.0052988766239718,0.00504683188355726,0.00471208738698225,0.00505111272713864,0.00470751417180617,0.00523043025583587,FALSE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.000212405734777071,0.000560883893395703,0.00302263990734824,0.00263707633960047,0.002799251837492,0.00402218434674556,0.00292438797640118,0.00285560421145374,0.00329227106390002,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.753485963443505,0.805943846974381,2.08646006389776e-06,7.40263102232667e-06,1.35255591810621e-05,5.018175147929e-06,2.52043421828909e-05,3.47931718061674e-06,5.77554939872671e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.0956929197981492,0.157010713066866,0.000192350285942492,0.00186673249706228,0.000438078653870762,0.000968398910059172,0.000275042812684366,0.000355936660792952,0.000548468500117897,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.897573327787644,0.917397141238444,1.28165015974441e-06,4.98939600470035e-06,1.00410396673065e-05,2.89116923076923e-06,8.7362389380531e-07,9.28102643171806e-06,8.5766081112945e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.156641066400348,0.236360180550525,0.0459735917715655,0.0473060035569917,0.0486931983755599,0.0477885049195266,0.0432394368333333,0.0471020574229075,0.048855380043386,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.00235996916873098,0.00517967259111085,0.000263346658146965,0.000174369227967098,0.000213683223288548,0.000217107807100592,0.000303797625368732,0.000344494841409692,0.000150155036076397,FALSE
