"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1","X2","X3","X4","X5","in_top_panel"
"RSV_genus562","Ezakiella","Firmicutes",0.000206792556441645,0.000492224535755466,2.67324667258208e-05,5.72200833333333e-05,2.77656e-06,7.04004923076923e-05,3.08453666666667e-05,6.07654260985353e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.000315686755615279,0.000730836461629893,6.9908727595386e-05,2.951125e-06,3.297666e-05,4.81866153846154e-06,2.48379222222222e-05,6.24852463382157e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.0594672507650746,0.0939249100868936,1.91618136645963e-05,2.44368333333333e-05,3.24658e-06,7.50088307692308e-05,0.000199912144444444,1.79797150466045e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.00016408631138796,0.000396151237493788,0.00465643598225377,0.00347076760416667,0.00455822506,0.00557690406153846,0.00457082288888889,0.00592656557390147,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",2.57810915884191e-12,1.14658012590601e-11,3.76426685891748e-05,7.77172291666667e-05,0.00010932654,0.000321358338461538,2.86591444444444e-05,9.60687083888149e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.00541363952954762,0.0108917271487327,2.50979787045253e-05,1.03341875e-05,2.067424e-05,2.30391076923077e-05,3.70926333333333e-05,3.88584580559254e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.00616669180901972,0.0122608343026392,0.000104987639751553,7.08494791666667e-05,0.00011564238,0.000138978661538462,0.000132317755555556,0.000144845844207723,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",1.06185998524534e-22,8.97271687532312e-22,0.000430911768411712,0.00021452275,0.00093907784,0.000937473138461539,0.00100087722222222,0.000990225912117178,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.135723301349997,0.196379046621677,0.0026763022595386,0.00212537647916667,0.0023506865,0.00237603703076923,0.00302961696666667,0.00264856411984021,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",5.71917117680199e-19,3.86615971551815e-18,0.00103382188198758,0.00098182825,0.00130343022,0.00170905555384615,0.0016746363,0.00221068204260986,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",6.59144507966667e-14,3.18272633846762e-13,0.00207412138021296,0.00194858104166667,0.00165011538,0.00210734424615385,0.00186873094444444,0.00148898759387483,FALSE
"RSV_genus589","Blautia","Firmicutes",0.475105407647874,0.538877945587186,6.84236375332742e-05,0,3.6677e-06,0.000285689784615385,1.07536777777778e-05,0.00010399423701731,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",2.06995365034974e-16,1.1284586029326e-15,0.000227729652173913,0.000145610208333333,9.234942e-05,9.72928e-05,0.000162009055555556,0.000135505892143808,FALSE
"RSV_genus592","Catonella","Firmicutes",2.6006441618345e-06,7.33757880204974e-06,0.000820927347826087,0.000786870104166667,0.00069970566,0.000753849938461538,0.000783191633333333,0.000727259793608522,FALSE
"RSV_genus600","Howardella","Firmicutes",1.02289230199118e-35,1.23477713597506e-34,1.73823371783496e-05,2.41064791666667e-05,1.183134e-05,3.86008615384615e-05,2.67760444444444e-05,5.1286258322237e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.293492980462989,0.359422563030762,1.9542652173913e-05,2.78389583333333e-06,2.93e-06,7.43570769230769e-06,0,4.77810146471371e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",6.98511960975515e-14,3.2791255945795e-13,0.000311653370008873,0.000251378416666667,0.00039996056,0.000197845723076923,0.000136001533333333,0.000132057396804261,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.00366626792263654,0.00746505155332018,0.00235475715217391,0.0024355494375,0.00184117066,0.00221101233846154,0.00228089606666667,0.00217201129027963,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0346239651502194,0.0603242279421348,7.80649596273292e-05,1.27759791666667e-05,3.126952e-05,2.70580769230769e-05,6.78693333333333e-06,0.000295036584553928,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.0704404085959743,0.108222082297451,5.92820146406388e-05,0.000211595854166667,3.955074e-05,0.000260081923076923,9.55626555555556e-05,7.35229813581891e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",0.00722038484983268,0.0140716291323135,1.62801033717835e-05,1.19241875e-05,2.715592e-05,3.28970923076923e-05,3.80217777777778e-05,2.25773914780293e-05,FALSE
