"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus726","Anaeroglobus","Firmicutes",0.0624672441738977,0.139563033677563,0.00105312885163636,0.00091202929973822,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.00451730157108503,0.0165961731633341,7.63077272727273e-05,4.77260222513089e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.242440417109325,0.390213623728341,0.00255561948181819,0.00230975414005235,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.340772538307497,0.505180341876904,0.00536718770254546,0.00521925134424084,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.0196635676364452,0.0564085872743157,0.00071927828109091,0.000665913613874346,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.0988046073647725,0.196446807584077,0.00158458157781818,0.00141781967146597,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.0164801414348537,0.0506389800452778,9.96063367272728e-05,0.000116037945026178,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.00270411277051932,0.011096408521146,0.057177881429091,0.0604473366636125,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",0.00755622232557774,0.0240943693023139,0.0271414576534546,0.0252447992905759,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",0.00606927883381026,0.0205141624582787,0.0190211871010909,0.0175007502408377,TRUE
"RSV_genus749","Sneathia","Fusobacteria",0.238025328490215,0.387512024667206,4.43542414545454e-05,6.00022395287958e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.858879164091285,0.901556389636193,0.000648898389818181,0.000779969143979058,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.364681055093185,0.535922594006506,5.71606098181818e-05,3.30843848167539e-06,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.0222529660740089,0.062679187775125,9.49002363636364e-05,3.90916937172775e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.36814200075819,0.536344811449432,0.000158459832363636,8.13070196335078e-05,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.785676044333788,0.85114904802827,0.000337193112727273,9.85000392670157e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.137471957968901,0.249814633298326,1.25413410909091e-05,3.22396727748691e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.421957977640992,0.591985759139204,3.53887563636363e-05,4.26137591623037e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.442260430781537,0.595558112744895,3.78155258181818e-05,3.93504842931937e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.844631768936283,0.892142305938949,0.000185751747272727,8.60403612565445e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.690978844219398,0.789023139682961,2.20930981818182e-06,1.10594240837696e-05,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.0284618439873694,0.0740007943671604,0.000173583443272727,0.000357412742146597,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.202852063122285,0.342819986676662,0.001278580856,0.00131180018848167,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.128965295877808,0.242168166703884,0.000707574714909091,0.000143534215968586,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.0384148690364047,0.094088592277571,5.98678618181818e-05,7.4722362565445e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.793340620216991,0.85397811985141,0.000613573213818181,0.000272058548429319,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.302437838148861,0.468917382084014,0.00036777288,0.000288625039267016,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.613606136122748,0.740710264319602,6.36604872727273e-06,1.47812486910995e-05,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.572911848483216,0.717200758471582,1.78442665454545e-05,1.03473507853403e-05,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.00680369150708908,0.022196965285474,8.66322992727274e-05,8.17529083769634e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.0719555596318633,0.155903712535704,6.99516072727273e-06,1.5955887434555e-05,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.648963314068267,0.764318862866945,0.000323729153818182,0.000226308014397906,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.46516204294125,0.609398335326133,0.000606594229090909,0.000650255909685864,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.00592975703146527,0.0204516109860741,0.0258712847454546,0.0233678428115183,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.0859842097695333,0.175076282542785,6.26230661818182e-05,4.61189253926702e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.406459137274441,0.582911942845155,0.0001319372,4.10971217277487e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.829558091467192,0.881731556339343,3.05048181818182e-06,2.52227094240838e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.903045491985466,0.924937503912387,1.63779749090909e-05,1.34451662303665e-05,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",1.25493478527094e-06,3.02977112443983e-05,0.000125077313818182,0.000113682221204188,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",2.12107577990195e-06,3.98290896448255e-05,4.53401767272727e-05,1.59170706806283e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.493915192991411,0.632361118299609,1.79964970909091e-05,1.18472539267016e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.000483477977453334,0.00269957708696922,2.51691185454545e-05,2.28631426701571e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.00112928234609677,0.0054121951612971,0.00522610350327273,0.00502021518848168,TRUE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.953791099472094,0.965213747369963,1.26627621818182e-05,1.3889972513089e-05,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.0160337175349335,0.05017959747044,2.05877636363636e-05,1.16304214659686e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",5.82026241415563e-06,7.62702764128274e-05,0.000902975710545455,0.000439717630890053,TRUE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.734698119442741,0.827759881238822,0.00109018026509091,0.000293726193717278,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.429446290888903,0.591985759139204,0.000192039179636364,1.48919476439791e-05,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.00542338902107042,0.0190948488450188,0.000129070325090909,0.000179661539267016,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.00165974761675176,0.00738150913765916,0.00499902861127272,0.0045480549973822,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",7.84855492987845e-05,0.000552669076312274,0.00551861014181818,0.00447968637696335,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",0.000625539197910689,0.00330362888896582,0.0555108643807273,0.0502060313835079,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",0.0648265603780561,0.14228167147911,0.00132115482945455,0.001139215013089,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.238468938256742,0.387512024667206,0.000596372760727273,0.000276340786649215,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.818029896195076,0.874981344664353,0.000362360277090909,0.000291473293193717,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.109775063422257,0.210818019526834,2.19492832727273e-05,0.000459340997382199,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.516025599009151,0.65570170099659,0.000832889365090909,0.000719401176701571,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.866368928090674,0.903804622514345,2.59915752727273e-05,3.40113926701571e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.275763537296934,0.439660733992281,0.000299240845818182,0.000258938836387435,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.759967189768655,0.831236571673149,1.93310607272727e-05,9.5264387434555e-05,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.00183299192192157,0.00794296499499345,3.56427647272728e-05,2.89449607329843e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.0012050827103326,0.0055042967039516,0.00512502302581818,0.00486903152748691,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",6.2322605282696e-06,7.62702764128274e-05,0.000649293977454547,0.00059886345026178,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.891562425469473,0.92438067425976,1.68612767272727e-05,1.0936112565445e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",4.60030802746206e-05,0.000370215265067185,0.000340735167272727,0.000104085702879581,TRUE
"RSV_genus1322","Mycoplasma","Tenericutes",0.0307946616365581,0.0776760868146017,0.000790758004363636,0.000724948227748691,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.608505064285689,0.740710264319602,9.28237527272727e-06,5.36830235602094e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.646891585585055,0.764318862866945,0.000194986858909091,5.34050706806283e-05,FALSE
