"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoker","Former.smoker","Current.smoker","in_top_panel"
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0585992296644446,0.0892186469665868,0.00553437288598048,0.00560289437717602,0.00646660392986699,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.0944218328638253,0.13756284270678,0.0783290429214729,0.0817359044603481,0.080721143891173,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.485968489864959,0.578370949205479,0.000125843394853594,3.0226497098646e-05,0.00061353338935913,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.558149229939476,0.637346080133591,0.000161654129103815,1.4601587040619e-05,1.75860943168077e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",2.20566397287154e-08,6.21262019025483e-08,2.40612542147294e-05,4.02110735009671e-05,2.31226783555018e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",3.63338771004357e-65,1.53510630749341e-63,0.00576190385004436,0.00189624676982592,0.0032780416070133,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",1.1694984545353e-34,1.31763492544311e-33,0.00339272183096717,0.00212664407059961,0.00340147382708585,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.709149074090739,0.778222035852824,1.13293101153505e-05,6.78847098646035e-06,2.24961777509069e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.321104584175052,0.408020110718675,0.000969396330523513,0.00100001323984526,0.00222799751874244,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.00421750288265339,0.00750271565440446,1.86713930789707e-06,1.30031247582205e-05,3.01893143893591e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",6.88479219680507e-53,1.45441235157507e-51,0.052840731390417,0.032263328696325,0.0465819876807739,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.0352258448156909,0.0551219238319608,0.000239518891304348,0.00044803384622824,0.000173610934703749,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",8.85712509261402e-26,6.50806148109465e-25,0.00182982748580302,0.000972928609284332,0.00172366493591294,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.629766984954445,0.710291021594862,3.14629103815439e-06,2.25891295938104e-06,4.54495042321645e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.170624103038448,0.234434743199168,0.0230559412573203,0.0233965082301741,0.0222892325501814,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",2.28258471553594e-70,1.28585605641858e-68,0.00239028304037267,0.0141884981015474,0.00437274984764208,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.084915271293374,0.126997175651152,3.11511384205856e-05,1.21227901353965e-05,6.07299758162031e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.763427542679943,0.832382288470389,0.000150916249334516,7.03689071566731e-06,7.77202781136638e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0205101383224405,0.0330115559665947,4.90347839396628e-05,0.000466573396518375,2.47922563482467e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.00539004149345431,0.00948871887910185,0.315025599921916,0.32691020559091,0.310188021232164,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.0122085642546887,0.0202279152847293,1.97862222715173e-05,7.31426798839458e-05,2.44723724304716e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.375336863236192,0.470825544513429,4.42500532386868e-06,2.00990657640232e-05,1.3233961305925e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",2.12958697395431e-08,6.10000336607251e-08,0.000255848948535936,0.000335043778529981,0.000251143087061669,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",2.6558997962541e-28,2.14342717719017e-27,7.18799205856255e-05,0.000163307891682785,8.80095332527207e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.000289753151786621,0.000589979309059505,4.41413043478261e-05,9.59886431334623e-05,3.16402164449819e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",2.69063032072159e-07,6.88964430609012e-07,2.67324667258208e-05,5.64659448742747e-05,2.21734969770254e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",4.28211888049193e-05,9.52208014214652e-05,6.9908727595386e-05,6.03797862669246e-05,1.69368113663845e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.00126923629801799,0.00238334371516711,1.91618136645963e-05,3.28905067698259e-05,1.43632599758162e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",6.24678203682134e-07,1.53000893365624e-06,0.00465643598225377,0.00586787491682785,0.00468892596614268,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",2.13402396949982e-15,8.79634270354802e-15,3.76426685891748e-05,8.31973839458414e-05,7.04914340991536e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.000492276408402746,0.000990413250238858,2.50979787045253e-05,2.50814796905222e-05,4.85449214026602e-06,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",2.46111925155057e-06,5.85815709171895e-06,0.000104987639751553,0.000146727601547389,0.000102118168077388,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",3.29470257624855e-30,2.93055123887371e-29,0.000430911768411712,0.00104241479400387,0.000428984192261185,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.395999901172307,0.484956400711014,0.0026763022595386,0.00281861844680851,0.00279463797823458,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",4.21971128739258e-24,2.85252483027739e-23,0.00103382188198758,0.00213757452998066,0.00127733676904474,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",2.02002809978846e-12,6.96703569110715e-12,0.00207412138021296,0.00159766143423598,0.00205622972914148,FALSE
"RSV_genus589","Blautia","Firmicutes",0.230884807281032,0.304840097113238,6.84236375332742e-05,7.6402832688588e-05,0.000102160928657799,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",1.36739622169877e-17,7.00272610506338e-17,0.000227729652173913,0.000133324970019342,0.000208822145102781,FALSE
"RSV_genus592","Catonella","Firmicutes",4.28052892669025e-08,1.18591703050927e-07,0.000820927347826087,0.000746757152804641,0.000697530498186216,FALSE
"RSV_genus600","Howardella","Firmicutes",9.18578915325535e-44,1.4112712426365e-42,1.73823371783496e-05,4.97274323017408e-05,1.58431584038694e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.28324348586112,0.362637493261585,1.9542652173913e-05,1.69640338491296e-05,3.3990084643289e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",2.12399459419417e-15,8.79634270354802e-15,0.000311653370008873,0.000161772324951644,0.000225459657799275,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",3.9409388077334e-05,8.88024878009259e-05,0.00235475715217391,0.00215266464603482,0.00269462849939541,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0533521087795908,0.0819682398522805,7.80649596273292e-05,0.000105911705996132,6.92991813784764e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.000256841580876152,0.000529344233756948,5.92820146406388e-05,7.53351025145068e-05,3.58582333736397e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",8.61080717832742e-07,2.07889487591048e-06,1.62801033717835e-05,2.52108878143134e-05,1.1011400241838e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",2.9086040480822e-07,7.33662812128198e-07,0.00315840352883762,0.0027318864303675,0.00311916400120919,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",3.05801953028922e-09,9.57046852997924e-09,0.000216204900177462,0.000291945277562863,0.000181343917775091,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.065839667229821,0.0993473550164263,0.00262899397471162,0.00277165294003869,0.00300912457315599,FALSE
"RSV_genus644","Peptococcus","Firmicutes",7.87057288189507e-17,3.80036233440076e-16,0.000805862277284828,0.000531057725338491,0.000622861446191052,FALSE
"RSV_genus646","Filifactor","Firmicutes",3.61546598755767e-17,1.79709927028602e-16,0.0014498244689441,0.0022798538065764,0.00130361157315599,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",9.99280132459185e-05,0.000213770053652661,0.000315297643744454,0.000294098796905223,0.000245727551390568,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",2.63524987606468e-22,1.64947121872196e-21,0.00393499345341616,0.00283412358510639,0.00326570001813785,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0209648349125044,0.0334250669831438,1.56385093167702e-06,1.14534516441006e-05,2.16134824667473e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.388942593434529,0.483318369782613,0.00027003540771961,0.000145294114119923,0.00021487684764208,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",9.11959745108214e-09,2.70388064777698e-08,4.69685314995563e-06,1.5398081237911e-05,2.53793954050786e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.134146243089512,0.188922625684396,4.42916637089618e-05,5.72181305609284e-05,0.000520125708585248,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.48465908657772,0.578370949205479,3.4812719609583e-06,1.00673558994197e-05,4.3567484885127e-06,FALSE
