"OTU","Genus","Phylum","p_value","p_adj_BH","Married","Divorced","Living.with.Partner","Never.Married","Separated","Widowed","in_top_panel"
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",4.42140268004028e-06,1.14956469681047e-05,0.00196423223546945,0.00174624674244121,0.00217033842875817,0.00189965683997873,0.0021785245,0.00200434803272727,FALSE
"RSV_genus589","Blautia","Firmicutes",0.864202387229234,0.896013518047488,4.55326845504223e-05,2.56266002239642e-05,3.61775777777778e-05,4.83815837320574e-05,3.13351602564103e-06,4.17785454545455e-06,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",1.46121317049381e-05,3.47809895511908e-05,0.000221785344510681,0.000152542604703247,0.000201537185620915,0.000162564678894205,0.000151004887820513,0.000197823396363636,FALSE
"RSV_genus592","Catonella","Firmicutes",2.56291344368837e-09,9.89431192596713e-09,0.000730634742424243,0.000708406169092945,0.000888873926797385,0.000852156003721424,0.000824079378205129,0.000583964570909091,FALSE
"RSV_genus600","Howardella","Firmicutes",6.57969762921868e-11,3.08880249816099e-10,1.89212103825137e-05,2.79519126539754e-05,3.3890431372549e-05,2.78949595959596e-05,3.2243875e-05,1.65429418181818e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.722848857860194,0.783086262681877,1.36553214108296e-05,5.22946584546473e-06,2.07616e-05,9.62849175970229e-06,7.01777884615385e-06,2.97947272727273e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",5.14308169447034e-05,0.000120719556439651,0.000265454720566319,0.000200482104143337,0.000265168546405229,0.000259182957469431,0.000264207243589744,0.00015442524,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.00857238321945434,0.0155777716568579,0.00243973310208643,0.00231045282530795,0.00233427477777778,0.00224303004891016,0.00227535350641026,0.00234737799272727,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.432734487132288,0.529942958879397,5.75769967709886e-05,3.41157816349384e-05,0.000140571636601307,6.61929436469963e-05,3.44658173076923e-05,9.85714909090909e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",6.23098054732319e-09,2.34007936110582e-08,4.3756435171386e-05,4.06038600223964e-05,8.51004091503268e-05,6.51269048378522e-05,5.11989647435897e-05,3.84107309090909e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",2.5760338742163e-09,9.89431192596713e-09,1.27686353700944e-05,1.12727155655095e-05,2.26606091503268e-05,1.77228585858586e-05,2.18805608974359e-05,1.03622545454545e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.00135234352177075,0.00277936002209771,0.00333445628117239,0.00304074932698768,0.00318705848627451,0.00343930737320574,0.00287573043269231,0.00304802051636364,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",1.94100012240986e-12,1.0250906896477e-11,0.0001702784674615,0.000178202666293393,0.000308358189542484,0.000240754358320043,0.000237792439102564,0.000225919381818182,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.00296010902688346,0.00562088118587982,0.00267182180427223,0.00281805723852183,0.00266357507973856,0.00298322220733652,0.0029895306474359,0.00284739732363636,FALSE
"RSV_genus644","Peptococcus","Firmicutes",3.20565145177495e-22,5.41755095349967e-21,0.00062596153576751,0.000611262680851064,0.000837259355555556,0.000729426954279639,0.000921996342948718,0.000469297298181818,FALSE
"RSV_genus646","Filifactor","Firmicutes",3.51734207660792e-34,2.97215405473369e-32,0.0013493765752608,0.00149161902575588,0.00228738399607843,0.00163089309090909,0.00231093376602564,0.00102506002909091,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",4.68256840136219e-41,7.91354059830211e-39,0.000226516354694486,0.000280599833146696,0.000394658330718954,0.000383117591706539,0.000313109503205128,0.000197866014545455,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",2.001826207436e-16,2.11442893160427e-15,0.00324805167188276,0.00316716455319149,0.00417209271633987,0.00390492527166401,0.00421033525,0.00265622199636363,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0139173526401747,0.0245003395436409,1.12333010432191e-06,1.76151623740202e-06,7.89269019607843e-06,9.94908187134503e-06,7.89884615384615e-07,1.34522909090909e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.383850991380674,0.485955760022149,0.000129404556383507,0.000103697957446809,0.000299659518954248,0.000121297598086124,2.42344551282051e-05,1.55970218181818e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.000246656475562203,0.000555799258266831,4.25533681073025e-06,3.26307950727884e-06,1.26436954248366e-05,3.74131844763424e-06,1.80248557692308e-05,1.98757818181818e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.281279142652109,0.377271231017511,4.66455476900149e-05,0.000428775005599104,0.000136299291503268,6.71920855927698e-05,1.69757115384615e-05,6.37639236363636e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.610358238964165,0.706510564280437,5.84343616492797e-06,2.48477827547592e-06,1.34958209150327e-05,4.89216161616162e-06,1.26730769230769e-06,1.68863272727273e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.00589988101555169,0.0108378249090026,0.00163417277545951,0.00139870758566629,0.00165236792941177,0.00159559813397129,0.00147974421794872,0.00147527656,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.55001867159858,0.659242237589788,3.24911840536513e-05,1.50194400895857e-06,4.20810248366013e-05,6.58017969165338e-06,7.11538461538462e-08,3.54242909090909e-06,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.335970284245655,0.436761369519352,7.1124283407849e-05,3.53121914893617e-05,0.000174469264052288,0.000142929079744817,3.49730480769231e-05,3.80510509090909e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.616228399979857,0.708453058480243,2.94215978638847e-05,1.64632978723404e-05,0.00010298280130719,3.73550249867092e-05,8.34791987179487e-06,4.45616e-06,FALSE
"RSV_genus689","Pelospora","Firmicutes",1.53939879289115e-06,4.33597326664342e-06,3.1716651763537e-06,9.55483538633819e-06,7.92398431372549e-06,4.55393567251462e-06,7.02352884615385e-06,4.76524363636364e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",1.904816137812e-24,4.56497392041508e-23,0.000381487968951813,0.000397679717805151,0.000659421547712418,0.000447694307814992,0.000480257756410257,0.000275014258181818,FALSE
"RSV_genus703","Eggerthia","Firmicutes",5.39136870102546e-16,4.79548058143844e-15,9.24512401887729e-05,0.000122053176931691,0.000236264121568627,0.00013609624933546,0.000167558891025641,7.89522072727273e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",1.34497276573769e-06,3.85254910863848e-06,6.65154992548435e-07,1.5842150055991e-06,4.89353071895425e-06,1.49479319510898e-06,3.2961891025641e-06,2.28e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",2.40524991264848e-22,4.51652483597326e-21,5.60290208643815e-05,5.74458633818589e-05,0.000116705312418301,8.5560476342371e-05,9.94581730769231e-05,3.92092581818182e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.964653825072124,0.982087327934873,4.48454520615996e-06,9.65683762597984e-06,4.08846261437909e-05,6.06715736310473e-06,6.76982051282051e-06,1.66031127272727e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.0124123180969736,0.0220808606146162,0.00289352340760059,0.00289075617805151,0.00308792013594771,0.00324625923285487,0.00281681229166667,0.00276140863636364,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.97080619464921,0.982432616142015,1.26895300546448e-05,1.58721422172452e-05,5.6496305882353e-05,2.12605991493886e-05,1.35076185897436e-05,2.66067090909091e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",3.02086673970613e-06,8.10359490492598e-06,0.000790945579980127,0.00107645275587906,0.00127100894771242,0.000994297241360978,0.0010173695801282,0.000916194003636363,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.000216849499221117,0.000495237369842821,5.41063849975161e-05,5.75573034714446e-05,9.73330836601307e-05,6.42467240829346e-05,0.000116376016025641,3.68332472727273e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",2.42926939653107e-18,3.15805021549039e-17,0.00211468348435172,0.00247022884210526,0.00287412427843137,0.00278177441201489,0.00312571706410256,0.00200534267636364,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.0941811373689092,0.143392902840952,0.0052617321229508,0.00548202875923852,0.00549299075947712,0.00528200152099947,0.00568994913782051,0.00592554093818182,FALSE
"RSV_genus735","Selenomonas","Firmicutes",2.55329882408087e-07,8.14165096735221e-07,0.000647421717585693,0.000765287509518477,0.00105575170849673,0.000695784405635301,0.000981105939102564,0.000592568618181818,FALSE
