"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"Oral_all","Observed_OTUs","Control","Denture",0.789973593297903,0.789973593297903,FALSE
"Oral_all","Observed_OTUs","Gum Disease","Oral Hygiene",7.41742481359603e-17,7.41742481359603e-17,TRUE
"Oral_all","Observed_OTUs","Gum Disease","Tooth Decay",6.34587162509894e-32,6.34587162509894e-32,TRUE
"Oral_all","Observed_OTUs","Gum Disease","Denture",6.34587162509894e-32,6.34587162509894e-32,TRUE
"Oral_all","Observed_OTUs","Oral Hygiene","Tooth Decay",3.24143864571708e-06,3.24143864571708e-06,TRUE
"Oral_all","Observed_OTUs","Oral Hygiene","Denture",4.58963284112263e-10,4.58963284112263e-10,TRUE
"Oral_all","Observed_OTUs","Tooth Decay","Denture",0.00776417858501294,0.00776417858501294,TRUE
"Oral_all","Shannon_Diversity","Control","Gum Disease",5.88561440736691e-92,5.88561440736691e-92,TRUE
"Oral_all","Shannon_Diversity","Control","Oral Hygiene",1.66750469163186e-11,1.66750469163186e-11,TRUE
"Oral_all","Shannon_Diversity","Control","Tooth Decay",0.0416489440509229,0.0416489440509229,TRUE
"Oral_all","Shannon_Diversity","Control","Denture",0.7681925036347,0.7681925036347,FALSE
"Oral_all","Shannon_Diversity","Gum Disease","Oral Hygiene",3.01522217581408e-16,3.01522217581408e-16,TRUE
"Oral_all","Shannon_Diversity","Gum Disease","Tooth Decay",2.95021420404031e-25,2.95021420404031e-25,TRUE
"Oral_all","Shannon_Diversity","Gum Disease","Denture",1.14581342902221e-22,1.14581342902221e-22,TRUE
"Oral_all","Shannon_Diversity","Oral Hygiene","Tooth Decay",0.00258578430989858,0.00258578430989858,TRUE
"Oral_all","Shannon_Diversity","Oral Hygiene","Denture",5.5789087916748e-05,5.5789087916748e-05,TRUE
"Oral_all","Shannon_Diversity","Tooth Decay","Denture",0.131869402300329,0.131869402300329,FALSE
"Oral_all","Inverse_Simpson","Control","Gum Disease",3.82859942120597e-43,3.82859942120597e-43,TRUE
"Oral_all","Inverse_Simpson","Control","Oral Hygiene",3.27378413426278e-05,3.27378413426278e-05,TRUE
"Oral_all","Inverse_Simpson","Control","Tooth Decay",0.906196651505013,0.906196651505013,FALSE
"Oral_all","Inverse_Simpson","Control","Denture",0.729786482249213,0.729786482249213,FALSE
"Oral_all","Inverse_Simpson","Gum Disease","Oral Hygiene",2.90481384031744e-08,2.90481384031744e-08,TRUE
"Oral_all","Inverse_Simpson","Gum Disease","Tooth Decay",8.06708426053747e-17,8.06708426053747e-17,TRUE
