"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"Education_level","Beta Diversity ( Unwunifrac )","9-11th Grade","High School",0.00340642447188272,0.00340642447188272,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","9-11th Grade","College Graduate",2.91464134901723e-15,2.91464134901723e-15,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","High School","College Graduate",1.12836497188711e-07,1.12836497188711e-07,TRUE
"Education_level","Beta Diversity ( Wunifrac )","College/AA","< 9th Grade",0.259887834838304,0.259887834838304,FALSE
"Education_level","Beta Diversity ( Wunifrac )","College/AA","9-11th Grade",0.0267916379229561,0.0267916379229561,TRUE
"Education_level","Beta Diversity ( Wunifrac )","College/AA","High School",0.473137417253059,0.473137417253059,FALSE
"Education_level","Beta Diversity ( Wunifrac )","College/AA","College Graduate",0.00452744851514725,0.00452744851514725,TRUE
"Education_level","Beta Diversity ( Wunifrac )","< 9th Grade","9-11th Grade",0.473137417253059,0.473137417253059,FALSE
"Education_level","Beta Diversity ( Wunifrac )","< 9th Grade","High School",0.473137417253059,0.473137417253059,FALSE
"Education_level","Beta Diversity ( Wunifrac )","< 9th Grade","College Graduate",0.0012997184093939,0.0012997184093939,TRUE
"Education_level","Beta Diversity ( Wunifrac )","9-11th Grade","High School",0.12742255913474,0.12742255913474,FALSE
"Education_level","Beta Diversity ( Wunifrac )","9-11th Grade","College Graduate",5.01082436589401e-06,5.01082436589401e-06,TRUE
"Education_level","Beta Diversity ( Wunifrac )","High School","College Graduate",0.00108190267522953,0.00108190267522953,TRUE
"Marital_status","Beta Diversity ( Braycurtis )","Married","Divorced",0.0986064297891469,0.0986064297891469,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Married","Living with partner",0.795965542260579,0.795965542260579,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Married","Never married",0.95632670433656,0.95632670433656,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Married","Separated",0.297593772915357,0.297593772915357,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Married","Widowed",0.0609409153152149,0.0609409153152149,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Divorced","Living with partner",0.297593772915357,0.297593772915357,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Divorced","Never married",0.0986064297891469,0.0986064297891469,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Divorced","Separated",0.95632670433656,0.95632670433656,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Divorced","Widowed",0.407062719800943,0.407062719800943,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Living with partner","Never married",0.795965542260579,0.795965542260579,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Living with partner","Separated",0.419240435565743,0.419240435565743,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Living with partner","Widowed",0.0986064297891469,0.0986064297891469,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Never married","Separated",0.297593772915357,0.297593772915357,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Never married","Widowed",0.0609409153152149,0.0609409153152149,FALSE
"Marital_status","Beta Diversity ( Braycurtis )","Separated","Widowed",0.419240435565743,0.419240435565743,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Married","Divorced",2.56093933305265e-06,2.56093933305265e-06,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Married","Living with partner",0.0887047863275485,0.0887047863275485,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Married","Never married",0.324062906738698,0.324062906738698,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Married","Separated",0.0274673630316639,0.0274673630316639,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Married","Widowed",0.000157280293710147,0.000157280293710147,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Divorced","Living with partner",0.0274673630316639,0.0274673630316639,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Divorced","Never married",0.000226994434325259,0.000226994434325259,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Divorced","Separated",0.4109291250277,0.4109291250277,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Divorced","Widowed",0.324062906738698,0.324062906738698,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Living with partner","Never married",0.324062906738698,0.324062906738698,FALSE
